Date;Tair;Tmin;Tmax;Rain;Pressure;WindSpeed;RH
01/02/2014;19.16;14.67;25.49;0;913.1;0.57;75.48
02/02/2014;20.23;15.61;25.96;0;913;0.74;81.4
03/02/2014;19.96;16.2;25.33;0.17;913.9;1.02;80.83
04/02/2014;19.77;16.1;25.77;0.23;912.1;0.8;76.47
05/02/2014;19.23;15.64;24.69;0.64;913.2;1.12;84.08
06/02/2014;18.16;15.44;22.76;5.56;915.1;1.55;89.06
07/02/2014;16.89;14.46;21.18;2.41;915.2;1.44;87.72
08/02/2014;18.47;13.78;24.29;0;913.8;0.51;79.66
09/02/2014;20.7;15.97;26.98;0;912.2;0.45;77.72
10/02/2014;18.39;14.79;23.58;0;912.2;0.91;78.27
11/02/2014;18.47;13.9;24.98;0;912.6;0.56;77.12
12/02/2014;18.92;14.55;24.8;0.13;913.9;0.74;79.73
13/02/2014;17.8;14.78;22.79;3.97;916;1.52;83.64
14/02/2014;16.17;13.84;20.37;4.1;916.4;1.68;85.19
15/02/2014;17.21;13.8;22.97;3.12;915.2;1.35;81.95
16/02/2014;19.14;13.13;26.91;0;912.7;0.59;69
17/02/2014;21.07;13.78;29.24;0;911.9;0.42;69.46
18/02/2014;19.41;16.09;24.51;0.68;915.2;1.34;83.82
19/02/2014;18.79;15.21;23.93;8.95;915.6;1.89;86.76
20/02/2014;17.45;14.06;23.12;6.19;915;1.39;84.76
21/02/2014;19.59;13.55;27.21;1.03;913.1;0.57;76.3
22/02/2014;21.21;15.71;28.12;0.07;912.7;0.68;76.24
23/02/2014;21.3;16.93;27.15;1.12;914.2;1.05;80.38
24/02/2014;20.75;16.8;26.36;0.91;913.7;1.06;79.27
25/02/2014;22.46;17.28;29.36;0.01;911;0.52;70.62
26/02/2014;22.09;16.13;29.45;0.26;910.5;0.45;70.53
27/02/2014;21.37;17.01;27.43;2.01;912.1;0.94;78.22
28/02/2014;20.73;16.61;26.94;1.49;914.2;1.03;76.49
01/03/2014;20.83;16.61;26.97;0.93;915.3;1.14;74.95
02/03/2014;21.02;17.16;26.95;1.66;914.6;1.23;77.62
03/03/2014;21.15;16.8;27.09;0.01;912.7;1.1;76.32
04/03/2014;22.11;16.59;29.23;0;911.4;0.57;65.84
05/03/2014;22.52;16.07;29.55;0.17;912.1;0.74;68.88
06/03/2014;21.21;17.16;27.08;2.35;914.3;1.41;75.35
07/03/2014;19.27;15.56;24.98;5.76;915.1;1.74;80.6
08/03/2014;19.47;16.1;25.49;2.64;913;1.46;74.66
09/03/2014;20.35;14.64;27.5;0.41;910.9;1;71.39
10/03/2014;21.92;15.22;29.82;0.01;910.6;0.54;68.13
11/03/2014;22.59;17.14;29.32;1.64;911.8;0.89;71.62
12/03/2014;22.41;18.36;28.96;3.16;912.3;1.1;77.04
13/03/2014;21.45;17.96;27.49;0.23;912.2;1.12;74.37
14/03/2014;21.56;16.81;28.38;0.29;911.5;0.86;66.59
15/03/2014;21.48;16.37;28.25;5.48;912.9;0.94;71.83
16/03/2014;20.42;16.58;26.05;2.63;914.5;1.25;78.34
17/03/2014;20.28;16.21;26.73;0.49;914.7;1.24;74.38
18/03/2014;20.73;14.33;28.63;0;913.6;0.73;63.13
19/03/2014;21.74;17.5;27.49;0.01;912.7;0.39;75.19
20/03/2014;21.93;17.57;27.61;0;913.7;0.52;70.77
21/03/2014;22.77;16.61;29.92;0;913.6;0.42;65.34
22/03/2014;22.92;17.62;29.52;0;913.1;0.41;69.37
23/03/2014;22.61;18.39;29;0.24;913.6;0.54;72.24
24/03/2014;22.11;16.74;29.17;1.05;914.2;0.62;70.25
25/03/2014;22.57;17.91;28.92;3.21;913.4;0.34;78.09
26/03/2014;23.94;18.76;30.71;0.24;911.9;0.38;71.63
27/03/2014;23.96;19.45;30.51;1.18;912.8;0.6;71.76
28/03/2014;21.16;18.15;25.91;14.72;915.5;1.04;82.41
29/03/2014;21.18;17.51;26.96;12.16;915.7;1.13;80.92
30/03/2014;20.9;17.77;26.29;10.63;915.1;0.88;81.95
31/03/2014;20.66;16.67;26.49;1.73;914.1;1.17;79.6
01/04/2014;22.39;17.04;29.13;0.07;912.9;0.71;73.86
02/04/2014;23.54;18.76;30.04;0.08;912.8;0.69;70.98
03/04/2014;23.61;18.74;30.34;0.17;912.5;0.92;68.72
04/04/2014;22.54;18.46;28.48;0.41;912.8;1.26;73.2
05/04/2014;21.64;17.41;27.81;1.7;912;1.4;77.27
06/04/2014;21.63;17.13;28.16;1.04;912.2;1.21;71.85
07/04/2014;22.08;17.11;28.86;0.63;912.4;1.18;69.7
08/04/2014;22.4;18.28;28.62;2.1;911.7;1.1;72.71
09/04/2014;22.95;17.79;30.06;0.92;911.7;0.92;68.21
10/04/2014;23.37;18.15;30.67;0.81;911.8;0.9;66.59
11/04/2014;23.71;18.57;31.05;1.44;911.9;0.64;66.18
12/04/2014;24.31;18.97;31.4;0;912.2;0.53;64.29
13/04/2014;24.84;19.08;32.07;0.06;912.7;0.38;64.53
14/04/2014;24.51;19.94;30.18;0.79;912.7;0.48;67.72
15/04/2014;24.1;19.35;29.95;1.75;912.2;0.48;71.39
16/04/2014;24.85;19.77;31.5;0.11;911.9;0.52;66
17/04/2014;25.13;18.83;32.45;0.04;911.6;0.35;61.3
18/04/2014;25.43;18.45;33.57;0.86;910.7;0.49;60.67
19/04/2014;25.43;19.2;33.15;1.62;910.2;0.41;65.89
20/04/2014;26.38;20.13;33.53;0.01;909.4;0.43;62.92
21/04/2014;26.23;21.06;32.97;0.01;910.3;0.34;63.48
22/04/2014;26.12;20.37;33.48;0;910.4;0.61;60.89
23/04/2014;26.2;20.18;34.3;0;910.9;0.66;53.36
24/04/2014;25.65;18.65;34.14;0;911.5;0.67;55.33
25/04/2014;26.23;19.7;34.3;0;910.5;0.45;54.03
26/04/2014;26.74;19.62;35.05;0;908.9;0.6;53.32
27/04/2014;26.61;19.4;34.8;0;907.5;0.99;53.68
28/04/2014;27.04;20.72;34.57;2.24;907.4;0.48;58.18
29/04/2014;24.87;22.07;28.93;3.84;908.4;0.5;75.77
30/04/2014;22.92;19.96;28.21;11.05;910.5;0.52;80.16
01/05/2014;21.31;18.77;25.21;2.21;912.1;0.76;82.49
02/05/2014;22.42;18.31;28.7;2.65;911.7;0.96;77.31
03/05/2014;22.21;18.48;27.88;1.37;911.6;1.03;77.33
04/05/2014;23.31;18.47;30.39;0.11;911.8;0.78;70.52
05/05/2014;24.29;19.12;31.38;0.31;911.8;0.64;66.18
06/05/2014;23.88;18.76;30.69;1.34;911.4;0.6;70.44
07/05/2014;23.26;20.1;27.98;1.58;911;0.52;78.77
08/05/2014;24.03;20.81;29.56;1.41;910.7;0.7;72.65
09/05/2014;24.33;20.86;30.6;3.78;910.8;0.73;73.6
10/05/2014;25.19;19.62;32.51;0.48;910.6;0.73;64.32
11/05/2014;25.17;19.42;32.24;0;910.8;0.81;63.61
12/05/2014;24.78;20.04;31.21;0;911.6;0.81;68.46
13/05/2014;24.21;20.15;30.47;0.04;912.5;1.12;68.55
14/05/2014;23.44;19.83;28.65;2.33;912.7;1.04;72.26
15/05/2014;23.3;19.54;30.1;8.41;912.2;0.62;75.32
16/05/2014;24.27;18.46;31.45;0.68;912.7;0.59;60.13
17/05/2014;24.88;19.69;32.04;0.19;913.2;0.64;60.23
18/05/2014;23.65;20.04;28.71;0.41;913.5;0.61;71.95
19/05/2014;24.38;18.64;31.75;0.33;912.9;0.64;60.09
20/05/2014;24.73;19.04;31.82;0.02;912.1;0.47;57.93
21/05/2014;23.9;20;29.34;0.76;912.6;0.5;66.91
22/05/2014;23.38;20.21;28.84;2.72;913.7;0.78;78.15
23/05/2014;23.51;20.26;29.09;5.76;914.2;0.76;72.93
24/05/2014;23.6;19.33;30.03;4.8;913.2;0.7;69.35
25/05/2014;24.99;18.79;32.56;0.4;912.2;0.58;58.88
26/05/2014;25.63;19.68;33.09;0.01;912.1;0.67;57.15
27/05/2014;24.86;20.11;31.63;0.06;912.2;0.87;62.05
28/05/2014;24.09;19.29;30.68;0.27;912.2;0.88;67.36
29/05/2014;23.69;19.8;29.64;0;911.7;0.7;69.27
30/05/2014;23.98;19.11;30.48;0;911.3;0.58;67.29
31/05/2014;23.27;19.93;27.29;0.66;911.5;0.71;73.71
01/06/2014;23.71;19.72;30.57;3.58;911.5;0.64;75.44
02/06/2014;21.82;18.86;24.98;3.85;910.9;0.66;84.97
03/06/2014;22.38;17.6;28.02;4.33;910.4;0.54;77
04/06/2014;22.98;18.54;29.34;9.58;911.2;0.39;78.61
05/06/2014;22.41;20.13;26.28;23.13;911.8;0.27;88.59
06/06/2014;21.71;19.59;25.16;11.41;911.4;0.6;87.8
07/06/2014;22.29;19.02;27.2;7.99;911.3;0.39;83.33
08/06/2014;21.77;19.52;25.6;2.65;911.5;0.45;85.74
09/06/2014;22.34;18.4;27.82;22.29;910.4;0.39;82.47
10/06/2014;21.82;19.54;25.41;9.19;909.8;0.48;89.1
11/06/2014;22.15;19.4;26.36;17.09;909.7;0.57;88.84
12/06/2014;21.95;18.86;26.02;8.4;910.5;0.42;84.99
13/06/2014;22.92;19.95;27.36;11.77;910.3;0.54;86.29
14/06/2014;22.36;19.98;26.26;5.15;911.2;0.42;87.99
15/06/2014;22.14;20.04;25.75;2.41;911.5;0.6;87.41
16/06/2014;22.51;19.76;26.79;5.97;911.5;0.64;87.38
17/06/2014;22.74;18.99;27.91;0.03;911.5;0.66;80.57
18/06/2014;23.09;19.48;27.7;2.86;911;0.73;84.48
19/06/2014;22.22;20.15;25.91;3.77;912;0.78;85.09
20/06/2014;22.41;19.93;25.97;0.27;913.3;0.86;86.23
21/06/2014;22.86;19.36;28.07;0;913.8;0.81;76.38
22/06/2014;22.56;18.23;28.29;0.2;913.6;0.95;76.4
23/06/2014;22.72;18.45;28.66;1.18;913.4;1.01;75.04
24/06/2014;22.57;19.16;26.9;6.19;913.1;1.03;84.5
25/06/2014;22.61;20.11;26.47;4.4;913.1;1.08;86.13
26/06/2014;23.17;19.99;28.2;2.16;913;1;80.94
27/06/2014;23.09;18.78;28.9;0;913.3;0.87;72.83
28/06/2014;23.59;19.15;29.17;0.09;913;0.77;78.21
29/06/2014;23.13;20.57;26.71;0.58;912.9;0.7;82.61
30/06/2014;23.62;19.97;29.49;0.66;913.1;0.88;73.7
01/07/2014;22.78;17.2;29.16;0;912.9;0.92;70.19
02/07/2014;23.74;18.96;29.45;0.01;911.8;0.82;74.48
03/07/2014;23.95;20.09;29.26;0.03;911.3;0.85;71.69
04/07/2014;23.13;19.63;28.32;0.6;912;0.96;77.14
05/07/2014;23.53;19.81;28.82;1.06;912.9;0.79;77.77
06/07/2014;23.69;20.12;29.28;0;913.6;0.88;73.21
07/07/2014;22.74;18.76;28.07;0.97;913.4;0.92;70.91
08/07/2014;22.47;18.39;28.15;3.52;912.8;0.81;77.03
09/07/2014;22.4;19.68;27.41;3.03;912.1;0.7;82.62
10/07/2014;22.89;19.13;28.89;3.27;912.4;0.76;79.21
11/07/2014;23.36;19.39;29.59;1.45;913.8;0.86;71.37
12/07/2014;23.32;18.78;29.5;0.08;914.2;0.94;71.82
13/07/2014;23.37;18.5;29.71;0.49;912.8;0.66;70.59
14/07/2014;23.27;18.84;29.63;1.75;912.2;0.38;75.75
15/07/2014;23.11;20.03;27.39;0.41;912.4;0.46;74.98
16/07/2014;23.59;19.63;29.68;3.76;912.4;0.56;76.09
17/07/2014;24.2;19.89;31.26;4.64;912.2;0.53;69.13
18/07/2014;23.47;19.52;29.11;6.97;913.1;0.39;76.16
19/07/2014;23.3;19.91;29.46;6.89;913.6;0.45;76.81
20/07/2014;23.68;18.94;30.08;0.31;913.3;0.53;65.33
21/07/2014;23.82;18.66;30.04;0.05;912.3;0.5;71.77
22/07/2014;24.8;19.69;31.43;0.32;912.2;0.55;67.04
23/07/2014;24.54;20.23;30.41;1.14;913.2;0.71;72.93
24/07/2014;23.68;20.18;28.93;1.4;913.6;0.79;76.77
25/07/2014;24.05;20.27;30.31;0.67;912.7;0.93;70.41
26/07/2014;24.62;19.21;31.93;0.14;911.9;0.82;62.75
27/07/2014;24.38;19.65;30.63;0;911.9;0.84;65.58
28/07/2014;24.56;19.67;30.96;0.08;912;0.84;69.12
29/07/2014;24.29;19.55;30.99;1.19;912.3;0.89;67.79
30/07/2014;23.3;19.77;29.1;3.84;912.8;0.67;78.68
31/07/2014;23.71;18.7;30.69;1.72;912.9;0.79;68.85
01/08/2014;23.29;19.7;29.07;2.74;911.8;0.63;74.81
02/08/2014;24.33;19.86;30.99;5.06;910.8;0.64;70.84
03/08/2014;23.53;19.66;29.4;4.33;910.7;0.68;73.21
04/08/2014;24.09;18.93;30.96;0.75;911.9;0.88;69.02
05/08/2014;24.39;20.16;30.84;2.75;912.1;1;74.23
06/08/2014;23.99;19.93;29.95;1.66;911.7;0.93;71.97
07/08/2014;24.68;19.88;31.59;0.68;911.1;0.61;69.55
08/08/2014;24.95;19.99;31.81;0.51;911.6;0.47;67.5
09/08/2014;24.93;19.87;31.71;0.08;911.5;0.49;67.1
10/08/2014;24.87;20.28;31.31;0.79;910.6;0.62;65.55
11/08/2014;22.81;19.8;27.85;2.36;911.7;0.66;76.05
12/08/2014;23.49;17.86;30.16;0.14;912.5;0.69;62.73
13/08/2014;23.46;19.45;29.35;4.31;912.8;0.88;72.96
14/08/2014;23.67;19.44;30.85;5.04;912.6;0.7;73
15/08/2014;23.69;19.5;30.48;3.92;912.6;0.65;71.32
16/08/2014;23.6;19.44;30.19;5.45;912.7;0.48;73.21
17/08/2014;24.37;20.08;30.93;2.64;912.6;0.61;74.36
18/08/2014;25.6;19.58;33.21;0.05;912;0.57;62
19/08/2014;26.06;19.37;33.94;0.5;911.2;0.61;54.89
20/08/2014;24.4;20.21;29.79;10.25;911.6;0.54;72.33
21/08/2014;24.15;20.4;30.32;7.09;912;0.63;73.51
22/08/2014;24.19;19.42;31.03;1.2;912;0.75;67.55
23/08/2014;24.42;19.8;30.74;0.06;912.1;0.91;68.15
24/08/2014;24.23;19.04;31.06;0.03;912;0.9;65.34
25/08/2014;24.78;18.86;32.08;0.06;911.5;0.6;64.4
26/08/2014;24.26;20.04;30.67;1.23;912.1;0.54;71.02
27/08/2014;23.29;20.74;27.35;4.19;911.9;0.44;82.62
28/08/2014;24.4;20.57;31.11;9.74;911.3;0.61;75.27
29/08/2014;23.84;20.71;29.44;6.53;911.8;0.7;76.81
30/08/2014;24.04;20.05;29.95;2.2;912;0.72;75.6
31/08/2014;24.55;20.37;31.44;15.22;912;0.48;74.54
01/09/2014;23.82;20.52;29.19;10.8;912.9;0.49;80.6
02/09/2014;22.57;19.98;26.73;8.13;913.1;0.56;84.25
03/09/2014;21.5;18.87;25.82;17.53;912.3;0.55;82.11
04/09/2014;21.18;18;25.49;11.74;912.2;0.31;84.9
05/09/2014;21.48;19.1;26;11.63;912.7;0.61;85.66
06/09/2014;22.39;19.16;27.67;13.85;912.6;0.5;82.27
07/09/2014;23.04;19.12;28.49;0.22;912.2;0.63;78.46
08/09/2014;22.98;19.88;27.64;1.14;911.3;0.63;80.42
09/09/2014;22.7;19.16;27.19;10.07;911;0.44;83.36
10/09/2014;23.45;19.15;29.29;13.51;911.4;0.47;78.49
11/09/2014;23.98;19.6;29.28;1.14;911.5;0.5;79.9
12/09/2014;24.2;19.71;29.68;5.14;911;0.44;77.52
13/09/2014;23.57;20.78;28.23;7.57;911.1;0.47;83.02
14/09/2014;23.15;19.66;27.82;4.95;912;0.43;78.45
15/09/2014;23.95;19.71;29.69;1.58;912.4;0.47;74.79
16/09/2014;24.11;19.56;29.71;1.86;912.4;0.42;73.84
17/09/2014;23.41;20.2;28.19;2.28;910.8;0.43;83.25
18/09/2014;23.1;20.16;27.6;5.97;909.6;0.35;82.93
19/09/2014;22.56;19.54;26.6;19.91;909.8;0.34;86.15
20/09/2014;22.37;20.59;25.32;7.91;910.4;0.2;91.79
21/09/2014;22.16;20.26;25.42;9.48;910.2;0.33;90.72
22/09/2014;22.17;19.89;26;7.09;909.9;0.46;87.75
23/09/2014;21.36;18.98;25.49;2.7;909.5;0.41;88.71
24/09/2014;21.07;19.17;24.5;11.93;909.9;0.33;92.17
25/09/2014;22.01;19.09;25.92;7.78;910;0.49;85.68
26/09/2014;22.36;18.13;27.91;9.78;909.3;0.6;84.11
27/09/2014;22.82;19.12;27.65;24.8;909.4;0.47;85.94
28/09/2014;22.07;19.72;25.21;28.19;909.9;0.31;90.07
29/09/2014;22.66;20.17;25.96;5.04;909.5;0.37;89.53
30/09/2014;23.23;20.7;27.26;1.9;909.6;0.24;88.6
01/10/2014;22.98;19.49;27.45;1.91;909.6;0.47;84.55
02/10/2014;22.34;19.19;26.59;5.76;908.5;0.28;86.7
03/10/2014;21.95;18.41;26.26;2.67;908.7;0.35;87.78
04/10/2014;22.94;19.62;27.4;0.34;910.5;0.28;84.04
05/10/2014;23.32;20.12;27.94;0.14;911.6;0.44;85.04
06/10/2014;22.44;19.94;26.2;0.91;912.6;0.61;87.03
07/10/2014;21.94;18.57;26.94;0.4;912.8;0.77;84.76
08/10/2014;22.03;18.21;26.87;0.25;912.2;0.67;84
09/10/2014;22.55;19.07;27.6;4.33;912.6;0.62;81.84
10/10/2014;22.12;19.36;26.58;8.47;912.9;0.66;88.53
11/10/2014;22.1;19.34;26.41;7.5;912.2;0.69;87.81
12/10/2014;22.63;19.81;27.17;0.73;911.6;0.41;84.92
13/10/2014;22.57;19.76;27.03;4.78;911.3;0.42;86.12
14/10/2014;21.48;19.38;24.27;13.16;911.1;0.64;93.36
15/10/2014;21.23;19.58;24.28;17.53;909.4;0.6;93.58
16/10/2014;21.2;19.57;23.78;32.32;908.8;0.44;94.29
17/10/2014;20.48;18.62;23.14;9.9;910.4;0.69;92.4
18/10/2014;20.73;17.1;24.66;2.41;911.6;0.56;88.94
19/10/2014;21.41;18.59;24.64;5.27;911.2;0.42;93.51
20/10/2014;21.75;19.64;24.59;26.19;911.1;0.41;93.5
21/10/2014;22.16;19.26;26.06;12.36;911.4;0.32;90.54
22/10/2014;22.21;19.14;26.97;1.2;911.7;0.54;85.62
23/10/2014;22.55;18.67;27.74;0.03;911;0.37;83.34
24/10/2014;23.31;19.45;28.24;1.48;910.1;0.38;85.27
25/10/2014;23.09;20.68;26.84;10.97;909.9;0.41;91.57
26/10/2014;23.06;19.84;27.85;0.71;911;0.41;83.75
27/10/2014;21.89;18.81;25.48;1.69;911.8;0.42;88.08
28/10/2014;21.94;20.5;24.08;9.48;911.8;0.22;93.08
29/10/2014;22.19;19.81;25.91;10.74;911.6;0.26;86.43
30/10/2014;22.65;19.73;27.09;9.01;911.4;0.42;87.96
31/10/2014;23.33;19.04;28.26;0.42;911.6;0.46;85.63
01/11/2014;23.58;19.46;28.44;6.28;911.4;0.41;82.98
02/11/2014;22.77;19.77;26.67;9.08;911.4;0.48;87.78
03/11/2014;21.64;19.23;25.65;1.82;911.7;0.68;88.05
04/11/2014;20.72;17.98;24.83;7.03;912;0.67;88.81
05/11/2014;20.6;17.02;24.85;5.4;911.4;0.41;91.22
06/11/2014;22.15;19.47;26.13;1.73;911.3;0.27;89.42
07/11/2014;22.03;18.99;26.47;0.46;911.1;0.45;84.19
08/11/2014;22.26;19.45;26.67;0.68;911.5;0.47;86.86
09/11/2014;21.99;19.02;25.95;3.55;912.3;0.76;89.07
10/11/2014;22.09;19.88;25.55;12.09;912.2;0.73;91.56
11/11/2014;21.31;19.13;24.74;5.93;911.3;0.52;91.43
12/11/2014;21.01;18.17;24.77;4.07;910.4;0.41;91.77
13/11/2014;21.33;19.54;24.15;9.13;909.5;0.37;93.67
14/11/2014;20.68;18.89;23.81;4.35;910.8;0.56;92.25
15/11/2014;21.03;18.3;25.18;6.46;911.3;0.7;90.85
16/11/2014;20.9;18;25.12;2.28;910.1;0.7;89.44
17/11/2014;21.98;18.42;27;0.38;907.9;0.38;87.28
18/11/2014;22.69;18.85;27.63;0.86;907.9;0.3;85.97
19/11/2014;22.49;20.29;25.92;7.86;909.2;0.44;91.27
20/11/2014;22.53;20.07;26.57;7.67;908.6;0.54;91.03
21/11/2014;21.99;19.64;25.73;8.44;908.9;0.41;90.13
22/11/2014;21.83;19.75;25.55;7.5;910.1;0.42;91.06
23/11/2014;21.36;18.81;25.31;1.98;911.7;0.81;89.57
24/11/2014;21.48;18.73;25.82;0.5;912.2;0.73;87.64
25/11/2014;20.77;17.72;25.26;0.85;912.4;0.78;89.26
26/11/2014;20.83;17.89;24.74;0.84;913.2;0.8;90.51
27/11/2014;20.51;17.73;24.71;2.08;912.8;0.99;89.37
28/11/2014;19.51;16.82;24.06;4.14;912.4;1.18;89.58
29/11/2014;18.18;15.74;22.49;3.36;912.1;1.37;88.33
30/11/2014;18.24;14.91;23.1;3.12;911.4;1.05;90.12
01/12/2014;19.35;16.03;24.13;0.4;911.1;0.77;89.13
02/12/2014;20.43;16.73;25.53;0.25;911;0.56;87.68
03/12/2014;20.57;17.37;25.28;1.39;913.1;0.71;90.16
04/12/2014;20.02;16.99;24.22;1.53;915.3;1.19;88.9
05/12/2014;20.25;18.36;23.59;13.75;915.6;1.21;92.62
06/12/2014;20.2;17.98;24.2;2.11;914.7;1.27;89.52
07/12/2014;19.66;17.72;23.53;7.27;913.2;1.12;92.11
08/12/2014;19.89;17.21;24.35;4.49;912.8;0.81;90.92
09/12/2014;20.22;16.66;25.01;0.03;912.6;0.75;89.57
10/12/2014;20.54;17.4;25.01;0.01;912.6;0.66;89.12
11/12/2014;20.15;16.92;24.63;0.05;912.2;0.85;88.66
12/12/2014;21.23;17.61;26.07;0.01;911.7;0.71;88.94
13/12/2014;22.34;18.43;27.14;1.15;910.3;0.32;85.95
14/12/2014;22.66;18.56;27.43;2.82;909.4;0.46;84.74
15/12/2014;22.78;19.33;27.44;1.68;908.8;0.25;83.54
16/12/2014;22.57;18.86;27.26;0.25;908.7;0.41;86.13
17/12/2014;22.43;19.44;27.05;0.35;909.3;0.47;87.23
18/12/2014;21.17;18.69;24.91;4.68;912.3;0.95;89.76
19/12/2014;20.6;17.91;24.65;20.75;914;1.24;91.98
20/12/2014;20.77;17.96;25.06;0.86;914.3;1.12;88.04
21/12/2014;20.31;17.41;24.64;2.41;912.9;0.85;89.79
22/12/2014;20.74;17.55;25.69;1.76;910.8;0.7;87.63
23/12/2014;21.39;17.47;26.6;0;910.1;0.53;86.11
24/12/2014;21.65;17.27;27.18;0;911.1;0.46;85.66
25/12/2014;20.81;17.64;25.36;0;912.3;0.64;85.92
26/12/2014;20.73;17.25;25.89;0;911.4;0.68;84.88
27/12/2014;20.51;15.52;26.34;0;909.2;0.51;81.62
28/12/2014;20.59;15.28;26.62;0;909.4;0.5;81
29/12/2014;21;16.92;26.16;0;911.9;0.54;85.65
30/12/2014;21.33;16.51;26.82;0;912.8;0.57;85.77
31/12/2014;21.67;18.19;26.37;1.18;912.5;0.72;86.74
01/01/2015;18.95;14.79;23.99;1.95;913.9;0.92;88.82
02/01/2015;19.66;16.44;24.12;1.32;913.7;0.84;87.53
03/01/2015;20.51;16.88;25.35;0.7;913.2;0.69;88.51
04/01/2015;20.47;16.87;25.4;0.26;914.8;0.74;85.89
05/01/2015;19.76;16.68;24.11;3.78;916;1.37;88.27
06/01/2015;18.84;16.06;23.07;7.33;915.5;1.56;88.7
07/01/2015;18.33;15.45;22.29;4.57;914.9;1.54;88.92
08/01/2015;17.93;15.22;21.87;0.75;914.9;1.5;85.8
09/01/2015;17.83;14.47;22.11;1.43;914.6;1.24;88.35
10/01/2015;18.51;15.67;22.86;1.24;914.6;1.14;87.84
11/01/2015;19.45;15.65;24.64;0.53;914.3;0.77;87.09
12/01/2015;19.78;16.63;24.6;1.55;914.1;0.84;88.43
13/01/2015;19.79;17.15;23.9;3.97;914.2;1.04;89.75
14/01/2015;19.67;17.15;24;4.29;913.8;1.13;89.32
15/01/2015;19.61;16.82;24.34;3;914.7;1.08;88.98
16/01/2015;19.16;16.64;23.49;3.7;915.7;1.24;89.36
17/01/2015;18.7;16.25;23.22;1.68;915.6;1.16;89.18
18/01/2015;18.16;15.71;22.65;2.44;916;1.23;89.55
19/01/2015;18.64;15.79;23.09;3.5;915;1.06;88.7
20/01/2015;19.43;15.17;24.99;0;913.1;0.6;84.5
21/01/2015;20.08;16.64;25.23;0;913.1;0.64;83.97
22/01/2015;19.75;15.45;25.16;0;913.6;0.43;81.23
23/01/2015;19.92;15.33;25.72;0.02;912.9;0.45;80.49
24/01/2015;19.54;16.37;24;0.96;913.9;1.19;86.86
25/01/2015;16.96;14.49;20.3;1.54;913.9;1.22;89.03
26/01/2015;16.5;14.05;20.83;1.04;915.3;1.53;87.94
27/01/2015;15.97;13.12;20.45;0.71;915.9;1.55;85.96
28/01/2015;15.76;12.75;20.16;0.49;915.3;1.58;82.46
29/01/2015;16.67;14.46;20.85;1.64;914.5;1.57;85.38
30/01/2015;17.09;14.15;21.81;1.17;915.2;1.45;87.97
31/01/2015;17.99;14.57;23.1;0.73;914.1;1.17;87.02
01/02/2015;19.16;14.67;25.49;0;913.1;0.57;75.48
02/02/2015;20.23;15.61;25.96;0;913;0.74;81.4
03/02/2015;19.96;16.2;25.33;0.17;913.9;1.02;80.83
04/02/2015;19.77;16.1;25.77;0.23;912.1;0.8;76.47
05/02/2015;19.23;15.64;24.69;0.64;913.2;1.12;84.08
06/02/2015;18.16;15.44;22.76;5.56;915.1;1.55;89.06
07/02/2015;16.89;14.46;21.18;2.41;915.2;1.44;87.72
