"year","DOY","Date","Rain","Tair","RH","RAD","Pressure","WindSpeed","CO2","DegreeDays","PAR","FDiff","VPD","Tmax","Tmin"
NA,30,"1979-01-30",1.55,17.347,83.993,21.314,901.493,0.627,336.525,7.347,10.231,0.248,3.774,22.94,13.2
NA,31,"1979-01-31",21.72,14.965,90.031,11.251,901.789,0.619,336.525,4.965,5.401,0.417,1.923,21.15,11.82
NA,32,"1979-02-01",10.78,19.021,87.856,15.702,898.931,0.77,336.525,9.021,7.537,0.347,3.074,24.71,15.2
NA,33,"1979-02-02",0.89,18.374,86.01,20.716,899.364,0.875,336.525,8.374,9.944,0.276,3.32,23.7,13.84
NA,34,"1979-02-03",5.49,17.738,82.457,7.68,899.754,0.773,336.525,7.738,3.687,0.447,3.662,21.29,15.01
NA,35,"1979-02-04",5.72,17.466,83.094,14.13,899.129,0.763,336.525,7.466,6.782,0.359,3.829,24.45,14.22
NA,36,"1979-02-05",5.55,15.155,90.988,6.793,898.16,0.531,336.525,5.155,3.261,0.472,1.513,18.22,12.69
NA,37,"1979-02-06",0.05,17.498,79.535,21.951,898.439,0.842,336.525,7.498,10.537,0.252,4.348,23.15,11.44
NA,38,"1979-02-07",0.27,18.811,80.418,21.81,899.393,0.829,336.525,8.811,10.469,0.264,4.781,25.31,13.71
NA,39,"1979-02-08",0.06,18.592,78.256,18.519,900.143,0.871,336.525,8.592,8.889,0.308,5.319,25.08,13.45
NA,40,"1979-02-09",0.05,18.295,88.893,14.428,898.273,0.596,336.525,8.295,6.925,0.399,2.681,24.18,15.48
NA,41,"1979-02-10",0,18.81,86.898,15.64,897.7,0.709,336.525,8.81,7.507,0.358,3.122,23.57,16.02
NA,42,"1979-02-11",0,19.245,76.957,23.117,899.425,1.126,336.525,9.245,11.096,0.24,5.664,24.97,13.41
NA,43,"1979-02-12",8.57,19.764,74.324,21.626,900.462,1.316,336.525,9.764,10.381,0.272,6.743,27.31,12.05
NA,44,"1979-02-13",24.81,16.359,92.685,12.094,901.67,0.822,336.525,6.359,5.805,0.404,1.524,22.1,12.18
NA,45,"1979-02-14",37.34,16.934,94.682,10.134,900.502,0.53,336.525,6.934,4.864,0.421,1.116,21.39,13.68
NA,46,"1979-02-15",35.32,17.585,91.89,10.169,900.256,0.501,336.525,7.585,4.881,0.443,1.836,23.38,14.73
NA,47,"1979-02-16",0.71,18.371,84.96,18.095,900.431,0.86,336.525,8.371,8.686,0.328,3.652,24.68,14.12
NA,48,"1979-02-17",0.43,18.657,81.954,18.084,900.497,0.833,336.525,8.658,8.68,0.331,4.104,24.82,14.56
NA,49,"1979-02-18",3.54,18.526,87.773,15.493,900.912,0.754,336.525,8.526,7.437,0.364,2.923,24.92,15.47
NA,50,"1979-02-19",0.05,19.348,81.224,24.671,899.731,1.079,336.525,9.348,11.842,0.221,4.905,26.07,14.7
NA,51,"1979-02-20",4.23,18.554,83.994,20.451,898.864,0.988,336.525,8.554,9.816,0.302,3.849,25.48,14.36
NA,52,"1979-02-21",0.16,18.895,68.039,24.116,898.989,1.279,336.525,8.895,11.576,0.23,7.447,24.71,13.29
NA,53,"1979-02-22",0,18.239,70.801,24.908,899.254,1.078,336.525,8.239,11.956,0.213,6.908,24.93,12.52
NA,54,"1979-02-23",0.05,17.167,76.474,18.433,899.433,0.938,336.525,7.167,8.848,0.318,5.059,22.87,12.49
NA,55,"1979-02-24",0.26,18.475,81.69,21.296,899.329,0.901,336.525,8.475,10.222,0.264,4.364,23.87,12.11
NA,56,"1979-02-25",0.05,20.367,84.393,21.667,899.002,0.857,336.525,10.367,10.4,0.273,4.24,26.38,15.07
NA,57,"1979-02-26",2.46,20.162,87.524,15.817,898.36,0.741,336.525,10.162,7.592,0.35,3.32,25.54,15.94
NA,58,"1979-02-27",13.2,18.366,95.594,6.698,898.287,0.415,336.525,8.366,3.215,0.475,0.936,19.82,17.15
NA,59,"1979-02-28",49.13,18.351,94.719,7.838,898.96,0.582,336.525,8.351,3.762,0.462,1.152,21.89,17.39
NA,60,"1979-03-01",0,18.385,76.434,21.83,898.296,0.856,336.525,8.385,10.478,0.272,5.752,24.63,12.91
NA,61,"1979-03-02",2.69,18.603,75.458,25.172,897.298,0.991,336.525,8.603,12.083,0.213,6.237,24.81,12.67
NA,62,"1979-03-03",0,17.581,83.121,9.089,896.256,0.452,336.525,7.581,4.363,0.445,3.644,21.79,15.25
NA,63,"1979-03-04",0,18.289,75.935,19.465,896.339,0.688,336.525,8.289,9.343,0.303,5.807,24.15,12.26
NA,64,"1979-03-05",2.69,18.686,78.382,18.052,896.891,0.799,336.525,8.686,8.665,0.332,5.229,24.74,14.42
NA,65,"1979-03-06",0,19.199,76.482,23.114,896.583,0.8,336.525,9.199,11.095,0.249,6.125,25.43,12.68
NA,66,"1979-03-07",0,18.973,76.405,23.123,897.01,0.81,336.525,8.973,11.099,0.253,6.214,26.89,13.64
NA,67,"1979-03-08",0,19.156,74.522,21.386,898.209,0.858,336.525,9.156,10.265,0.273,6.523,26.81,12.73
NA,68,"1979-03-09",0,18.925,76.934,21.454,898.866,0.871,336.525,8.925,10.298,0.287,5.933,24.8,12.98
NA,69,"1979-03-10",0,19.126,75.745,17.237,897.824,0.742,336.525,9.126,8.274,0.332,5.946,24.85,14.9
NA,70,"1979-03-11",0,17.938,73.505,23.389,895.746,0.848,336.525,7.938,11.227,0.262,6.608,25.2,10.94
NA,71,"1979-03-12",0,18.439,74.461,14.787,895.709,0.718,336.525,8.439,7.098,0.392,6.176,24.68,12.46
NA,72,"1979-03-13",0,18.685,71.599,22.338,896.931,1.123,336.525,8.685,10.722,0.263,7.077,25.77,12.52
NA,73,"1979-03-14",0,18.484,75.616,21.159,897.747,0.872,336.525,8.484,10.156,0.287,6.084,26.11,13.27
NA,74,"1979-03-15",0,18.885,72.182,24.731,896.459,0.859,336.525,8.885,11.871,0.223,7.145,25.94,13.42
NA,75,"1979-03-16",2.7,18.422,75.506,22.757,894.458,0.88,336.525,8.422,10.923,0.272,6.241,25.58,10.69
NA,76,"1979-03-17",0,19.025,78.533,18.461,893.583,0.715,336.525,9.025,8.861,0.336,5.395,24.68,12.24
NA,77,"1979-03-18",0,19.428,75.116,18.441,895.406,0.736,336.525,9.428,8.852,0.339,6.339,25.22,13.44
NA,78,"1979-03-19",5.39,18.743,78.027,18.936,895.892,0.801,336.525,8.743,9.089,0.329,5.58,25.69,13.4
NA,79,"1979-03-20",13.45,16.716,87.143,6.009,896.58,0.248,336.525,6.716,2.885,0.451,2.58,20.58,12.54
NA,80,"1979-03-21",5.39,17.325,80.133,14.345,897.437,0.678,336.525,7.325,6.885,0.376,4.408,23.72,11.28
NA,81,"1979-03-22",0,17.953,73.645,22.953,897.754,0.904,336.525,7.952,11.017,0.265,6.699,26.28,10.13
NA,82,"1979-03-23",0,17.889,77.702,14.019,897.97,0.632,336.525,7.889,6.729,0.415,5.282,23.2,14.08
NA,83,"1979-03-24",13.47,17.592,85.975,5.29,897.013,0.31,336.525,7.592,2.539,0.516,2.884,20.26,15.34
NA,84,"1979-03-25",0,19.082,77.385,25.245,897.198,0.943,336.525,9.082,12.118,0.268,5.977,25.58,12.88
NA,85,"1979-03-26",0,18.191,74.574,13.625,898.628,0.698,336.525,8.191,6.54,0.424,6.169,25.33,11.71
NA,86,"1979-03-27",0,19.161,69.893,24.843,898.243,1.106,336.525,9.161,11.924,0.261,7.918,25.58,12.17
NA,87,"1979-03-28",0,18.219,75.634,24.911,896.767,0.966,336.525,8.219,11.957,0.26,6.285,25.15,11.18
NA,88,"1979-03-29",0,18.553,75.737,23.126,896.757,0.817,336.525,8.553,11.101,0.308,6.244,26.28,11.91
NA,89,"1979-03-30",0,19.453,75.161,22.116,897.289,0.894,336.525,9.453,10.616,0.314,6.328,26.46,14.05
NA,90,"1979-03-31",0,19.447,69.1,26.306,897.655,0.881,336.525,9.447,12.627,0.237,8.37,26.52,12.3
NA,91,"1979-04-01",0,17.896,68.508,26.283,897.181,1.054,336.525,7.917,12.616,0.235,8.317,26.73,9.6
NA,92,"1979-04-02",0,18.851,71.805,25.308,897.293,0.995,336.525,8.851,12.148,0.249,7.41,26.19,10.55
NA,93,"1979-04-03",0,19.817,74.733,22.054,896.863,0.879,336.525,9.817,10.586,0.306,6.72,26.06,13.32
NA,94,"1979-04-04",0,19.994,77.271,17.547,896.149,0.81,336.525,9.994,8.422,0.394,5.776,25.33,15.03
NA,95,"1979-04-05",0,20.15,77.314,21.532,895.818,0.96,336.525,10.15,10.336,0.336,5.809,24.4,16.52
NA,96,"1979-04-06",0,20.038,77.267,17.435,895.718,0.716,336.525,10.038,8.369,0.385,5.713,25.35,17.17
NA,97,"1979-04-07",0,21.095,72.941,24.435,895.604,0.779,336.525,11.095,11.729,0.274,7.829,26.92,14.71
NA,98,"1979-04-08",0,20.127,80.442,14.878,896.322,0.562,336.525,10.127,7.141,0.402,5.041,26.03,16.05
NA,99,"1979-04-09",50.64,18.929,82.666,14.156,898.291,1.028,336.525,8.929,6.795,0.44,4.293,25.11,15.93
NA,100,"1979-04-10",39.12,17.748,88.491,6.811,897.875,1.125,336.525,7.748,3.269,0.505,2.379,20.45,16.43
NA,101,"1979-04-11",28.8,16.739,91.295,4.864,897.212,0.513,336.525,6.739,2.335,0.515,1.678,19.15,15.23
NA,102,"1979-04-12",3.45,16.99,87.765,8.103,896.462,0.499,336.525,6.99,3.89,0.507,2.566,21.64,14.26
NA,103,"1979-04-13",1.15,18.467,77.791,22.094,895.731,0.622,336.525,8.467,10.605,0.327,5.758,25.31,11.44
NA,104,"1979-04-14",0,18.448,85.114,11.543,895.133,0.333,336.525,8.447,5.541,0.481,3.468,23.82,13.98
NA,105,"1979-04-15",25.33,19.422,84.804,10.097,895.491,0.304,336.525,9.422,4.846,0.504,3.737,23.99,16.38
NA,106,"1979-04-16",0,19.676,81.776,14.17,895.997,0.389,336.525,9.676,6.802,0.449,4.688,24.51,16.44
NA,107,"1979-04-17",1.15,18.421,82.721,17.308,896.114,0.566,336.525,8.421,8.308,0.401,4.317,25.79,13.46
NA,108,"1979-04-18",1.14,18.534,83.336,11.809,895.66,0.461,336.525,8.534,5.668,0.463,3.858,23.69,14.8
NA,109,"1979-04-19",11.52,19.717,79.185,22.404,896.56,0.715,336.525,9.717,10.754,0.321,5.527,27.09,16.09
NA,110,"1979-04-20",18.4,18.864,86.374,15.686,897.454,0.461,336.525,8.864,7.529,0.401,3.364,24.95,16.57
NA,111,"1979-04-21",9.21,16.838,94.45,4.277,896.516,0.166,336.525,6.838,2.053,0.521,1.072,18.15,15.13
NA,112,"1979-04-22",6.9,17.153,92.636,7.654,895.683,0.274,336.525,7.153,3.674,0.515,1.481,21.51,15.12
NA,113,"1979-04-23",0,19.271,82.065,19.894,896.202,0.462,336.525,9.271,9.549,0.363,4.477,26.7,14.59
NA,114,"1979-04-24",0,20.564,85.716,21.625,896.47,0.665,336.525,10.564,10.38,0.318,4.427,27.49,15.78
NA,115,"1979-04-25",4.61,19.838,83.662,20.106,896.21,0.671,336.525,9.838,9.651,0.349,4.292,26.83,14.45
NA,116,"1979-04-26",6.93,19.613,84.227,15.41,895.858,0.431,336.525,9.613,7.397,0.416,4.187,27.01,15.9
NA,117,"1979-04-27",0,19.29,88.224,8.176,895.018,0.306,336.525,9.29,3.924,0.484,2.821,24.29,16.53
NA,118,"1979-04-28",5.74,19.713,85.655,12.407,894.364,0.362,336.525,9.713,5.955,0.474,3.63,24.87,15.53
NA,119,"1979-04-29",1.14,20.041,87.469,11.719,894.583,0.406,336.525,10.041,5.625,0.479,3.165,25.72,17.58
NA,120,"1979-04-30",8.06,20.8,82.083,20.488,895.383,0.598,336.525,10.8,9.834,0.341,5.087,26.16,16.79
NA,121,"1979-05-01",0,21.599,89.722,23.817,897.612,0.897,336.525,11.599,11.432,0.29,3.355,28.44,16.1
NA,122,"1979-05-02",0,21.517,90.557,22.418,897.164,0.803,336.525,11.517,10.76,0.319,3.016,27.96,15.98
NA,123,"1979-05-03",0,21.177,90.388,22.613,897.59,0.853,336.525,11.178,10.854,0.314,3.04,27.66,15.98
NA,124,"1979-05-04",0,20.947,85.108,21.379,897.966,0.712,336.525,10.947,10.262,0.338,4.542,28.21,15.25
NA,125,"1979-05-05",0,20.77,94.906,16.935,898.535,0.669,336.525,10.77,8.129,0.401,1.293,26.06,18.3
NA,126,"1979-05-06",0,21.724,97.403,23.779,898.15,0.853,336.525,11.724,11.414,0.299,0.725,27.3,17.59
NA,127,"1979-05-07",0,20.973,92.383,21.023,898.603,0.768,336.525,10.973,10.091,0.343,2.397,27.5,16.36
NA,128,"1979-05-08",0,21.736,87.079,21.333,898.099,0.838,336.525,11.736,10.24,0.34,4.134,27.83,16.26
NA,129,"1979-05-09",0,21.438,93.916,21.6,897.6,0.873,336.525,11.438,10.368,0.32,1.844,27.69,17.33
NA,130,"1979-05-10",0,21.305,88.302,24.563,897.538,0.901,336.525,11.305,11.79,0.266,3.588,27.8,15.77
NA,131,"1979-05-11",0,20.709,86.378,20.29,897.074,0.765,336.525,10.709,9.739,0.362,4.119,28.35,15.02
NA,132,"1979-05-12",0,20.929,83.906,17.456,898.119,0.76,336.525,10.929,8.379,0.391,4.786,26.49,15.44
NA,133,"1979-05-13",0,21.863,86.093,17.548,898.503,0.782,336.525,11.863,8.423,0.388,4.401,28.18,17.5
NA,134,"1979-05-14",0,21.8,88.02,12.709,897.093,0.575,336.525,11.8,6.1,0.449,3.528,26.2,18.29
NA,135,"1979-05-15",0,22.052,87.174,14.946,896.293,0.637,336.525,12.052,7.174,0.437,3.984,28.22,18.65
NA,136,"1979-05-16",0,21.363,90.968,16.439,897.21,0.606,336.525,11.363,7.891,0.404,2.861,29.13,17.36
NA,137,"1979-05-17",0,21.844,87.883,22.579,897.806,0.757,336.525,11.844,10.838,0.307,3.967,28.46,16.77
NA,138,"1979-05-18",0,22.795,88.893,23.394,897.072,0.789,336.525,12.795,11.229,0.286,3.699,28.14,17.57
NA,139,"1979-05-19",0,21.998,84.419,15.77,896.489,0.627,336.525,11.998,7.57,0.418,4.761,27.46,18.07
NA,140,"1979-05-20",0,22.31,85.174,13.923,895.968,0.569,336.525,12.31,6.683,0.443,4.581,27.25,18.05
NA,141,"1979-05-21",0,21.151,84.793,11.834,896.454,0.504,336.525,11.151,5.68,0.471,4.555,28.18,17.6
NA,142,"1979-05-22",0,20.526,86.595,10.258,897.657,0.529,336.525,10.526,4.924,0.48,3.651,25.16,18.11
NA,143,"1979-05-23",0,21.27,88.182,13.983,898.066,0.626,336.525,11.27,6.712,0.446,3.609,27.58,17.42
NA,144,"1979-05-24",0,23.087,88.199,18.371,897.346,0.599,336.525,13.088,8.818,0.387,4.083,29.84,16.48
NA,145,"1979-05-25",0,22.965,90.427,12.867,897.429,0.502,336.525,12.965,6.176,0.465,2.959,27.09,20.3
NA,146,"1979-05-26",0,22.501,90.187,22.984,898.204,0.829,336.525,12.501,11.032,0.295,3.265,29.03,17.74
NA,147,"1979-05-27",0,20.569,90.459,14.83,897.617,0.739,336.525,10.569,7.119,0.397,2.771,28.29,17.17
NA,148,"1979-05-28",0,21.641,87.585,20.964,896.663,0.628,336.525,11.641,10.063,0.325,3.963,28.82,15.83
NA,149,"1979-05-29",0,22.825,86.656,17.927,896.538,0.645,336.525,12.825,8.605,0.362,4.377,28.66,19.31
NA,150,"1979-05-30",0,23.069,88.589,19.724,896.767,0.689,336.525,13.069,9.468,0.358,3.848,30.55,19.77
NA,151,"1979-05-31",0,22.609,88.555,15.954,896.898,0.677,336.525,12.609,7.658,0.418,3.724,31.3,19.33
NA,152,"1979-06-01",6.15,20.239,95.812,6.845,898.69,0.298,336.525,10.239,3.286,0.507,1.049,23.46,18.56
NA,153,"1979-06-02",1.1,20.421,95.119,9.525,898.69,0.489,336.525,10.421,4.572,0.49,1.277,24.05,17.96
NA,154,"1979-06-03",39.35,20.141,94.887,7.734,898.69,0.396,336.525,10.141,3.712,0.501,1.312,24.31,17.75
NA,155,"1979-06-04",15.7,21.322,90.511,16.88,898.69,0.672,336.525,11.322,8.102,0.39,2.821,27.51,17.98
NA,156,"1979-06-05",11.48,21.039,82.86,14.359,898.69,0.673,336.525,11.039,6.892,0.441,4.803,26.8,17.79
NA,157,"1979-06-06",0,22.16,83.81,14.324,898.69,0.6,336.525,12.16,6.876,0.434,4.857,27.72,18.47
NA,158,"1979-06-07",0.16,22.26,81.011,17.868,898.69,0.735,336.525,12.26,8.577,0.39,5.863,28.48,17.06
NA,159,"1979-06-08",0.06,23.274,80.225,20.917,898.69,0.774,336.525,13.274,10.04,0.328,6.074,28.66,17.9
NA,160,"1979-06-09",0,24.517,84.775,19.03,898.69,0.615,336.525,14.517,9.135,0.361,5.342,30.26,20.88
NA,161,"1979-06-10",0.16,23.966,82.533,25.437,898.69,0.974,336.525,13.966,12.21,0.252,5.779,29.22,19.59
NA,162,"1979-06-11",3.42,22.945,81.808,17.825,898.69,0.792,336.525,12.945,8.556,0.371,5.53,29.06,19.15
NA,163,"1979-06-12",0.74,22.362,90.218,10.362,898.69,0.458,336.525,12.362,4.974,0.487,2.713,26.46,19.35
NA,164,"1979-06-13",0.12,22.476,86.273,17.381,898.69,0.624,336.525,12.476,8.343,0.378,4.033,28.28,18.67
NA,165,"1979-06-14",14.81,22.465,83.355,16.994,898.69,0.766,336.525,12.465,8.157,0.395,5.348,31.32,18.05
NA,166,"1979-06-15",11.98,20.228,90.609,8.988,898.69,0.549,336.525,10.228,4.314,0.508,2.283,23.72,17.47
NA,167,"1979-06-16",25.12,19.97,88.91,17.09,898.69,0.645,336.525,9.97,8.203,0.387,3.09,28.05,16.62
NA,168,"1979-06-17",0.16,20.748,88.151,14.087,898.69,0.502,336.525,10.748,6.762,0.449,3.103,25.38,16.67
NA,169,"1979-06-18",2.04,21.522,88.704,18.676,898.69,0.631,336.525,11.522,8.964,0.361,3.402,28.07,17.43
NA,170,"1979-06-19",1.88,21.461,86.117,16.89,898.69,0.561,336.525,11.461,8.107,0.367,4,26.39,16.47
NA,171,"1979-06-20",4.61,22.55,84.375,24.269,898.69,0.865,336.525,12.55,11.649,0.27,5.057,29.5,18.02
NA,172,"1979-06-21",5.35,22.476,86.179,19.742,898.69,0.637,336.525,12.476,9.476,0.335,4.309,29.38,18.56
NA,173,"1979-06-22",1.25,21.936,86.447,20.638,898.69,0.65,336.525,11.936,9.906,0.337,4.277,28.79,17.37
NA,174,"1979-06-23",1.6,21.131,86.211,14.12,898.69,0.552,336.525,11.131,6.778,0.431,3.761,27.72,17.82
NA,175,"1979-06-24",13.81,20.918,87.321,13.048,898.69,0.459,336.525,10.918,6.263,0.452,3.537,27.36,17.95
NA,176,"1979-06-25",1.1,21.276,90.196,12.789,898.69,0.615,336.525,11.276,6.139,0.458,2.645,24.67,18.22
NA,177,"1979-06-26",3.08,20.344,94.617,7.122,898.69,0.285,336.525,10.344,3.419,0.499,1.32,23.85,17.5
NA,178,"1979-06-27",0.22,22.376,79.418,24.455,898.69,0.772,336.525,12.376,11.738,0.247,6.292,28.84,16.57
NA,179,"1979-06-28",0,22.76,85.03,20.235,898.69,0.715,336.525,12.76,9.713,0.342,4.813,29.68,17.47
NA,180,"1979-06-29",0.22,21.525,88.112,14.553,898.69,0.669,336.525,11.525,6.985,0.422,3.425,27.81,17.85
NA,181,"1979-06-30",10.07,21.53,84.726,15.885,898.69,0.758,336.525,11.53,7.625,0.398,4.267,27.2,17.5
NA,182,"1979-07-01",1.4,19.651,86.988,16.888,896.436,0.418,336.525,9.651,8.106,0.395,3.371,25.21,15.06
NA,183,"1979-07-02",7.75,20.187,87.751,16.002,896.838,0.402,336.525,10.187,7.681,0.396,3.328,27.32,15.37
NA,184,"1979-07-03",9.3,21.037,84.778,18.334,896.986,0.435,336.525,11.037,8.8,0.363,4.333,26.89,15.71
NA,185,"1979-07-04",5,19.651,88.42,18.432,897.428,0.494,336.525,9.651,8.847,0.348,3.134,26.51,15.37
NA,186,"1979-07-05",1.4,20.011,84.834,20.769,896.498,0.57,336.525,10.011,9.969,0.32,4.189,26.63,14.14
NA,187,"1979-07-06",1,19.798,86.953,18.934,895.332,0.546,336.525,9.798,9.088,0.354,3.613,26.6,15.7
NA,188,"1979-07-07",1.6,19.339,92.063,13.998,895.53,0.385,336.525,9.339,6.719,0.388,2.147,25.5,16.98
NA,189,"1979-07-08",1.2,18.98,95.046,13.767,896.926,0.428,336.525,8.98,6.608,0.452,1.116,22.15,17.28
NA,190,"1979-07-09",1.2,19.426,90.117,16.696,897.392,0.553,336.525,9.426,8.014,0.383,2.453,22.91,16.87
NA,191,"1979-07-10",1,19.361,88.935,20.361,896.476,0.555,336.525,9.361,9.773,0.347,2.984,26,16.2
NA,192,"1979-07-11",1.4,19.625,87.854,9.647,895.863,0.272,336.525,9.625,4.63,0.491,3.247,24.93,15.66
NA,193,"1979-07-12",1.2,19.402,89.156,17.919,896.387,0.442,336.525,9.402,8.601,0.377,2.817,24.54,15.51
NA,194,"1979-07-13",1.4,19.669,89.166,23.896,896.311,0.694,336.525,9.669,11.47,0.278,2.862,25.91,15.73
NA,195,"1979-07-14",1.2,20.227,86.863,16.599,895.371,0.458,336.525,10.227,7.968,0.409,3.65,24.8,15.4
NA,196,"1979-07-15",0.8,19.545,89.069,20.206,895.238,0.572,336.525,9.545,9.699,0.342,2.972,25.75,15.77
NA,197,"1979-07-16",0.8,19.699,86.963,12.955,895.58,0.339,336.525,9.699,6.218,0.453,3.533,25.16,15.25
NA,198,"1979-07-17",0.6,19.638,87.36,16.046,895.882,0.504,336.525,9.638,7.702,0.406,3.424,25.04,16.03
NA,199,"1979-07-18",1.8,19.627,90.863,14.838,896.335,0.44,336.525,9.627,7.122,0.408,2.31,24.82,17.76
NA,200,"1979-07-19",4.8,19.135,95.052,7.073,896.331,0.245,336.525,9.135,3.395,0.515,1.141,22.58,17.66
NA,201,"1979-07-20",4.2,20.604,88.434,14.668,895.653,0.418,336.525,10.604,7.041,0.433,3.348,27.89,16.67
NA,202,"1979-07-21",4.6,19.524,91.552,11.155,895.516,0.388,336.525,9.524,5.355,0.462,2.176,26.64,16.47
NA,203,"1979-07-22",6.8,18.268,90.944,10.412,896.76,0.318,336.525,8.268,4.998,0.495,2.115,23.89,15.4
NA,204,"1979-07-23",4.57,20.375,87.326,12.133,896.144,0.549,336.525,10.375,5.824,0.468,3.187,24.32,17.19
NA,205,"1979-07-24",13.38,19.918,90.165,8.295,894.611,0.344,336.525,9.918,3.982,0.496,2.387,24.5,17.33
NA,206,"1979-07-25",28.55,21.037,90.898,17.041,895.791,0.512,336.525,11.037,8.18,0.395,2.86,27.95,17.35
NA,207,"1979-07-26",12.03,19.183,91.819,0.124,897.987,0.36,336.525,9.183,0.06,0.521,2.026,23.26,17.52
NA,208,"1979-07-27",19.09,17.651,93.015,0.127,896.94,0.34,336.525,7.651,0.061,0.521,1.601,23.82,14.96
NA,209,"1979-07-28",6.9,19.554,92.979,0.126,896.282,0.401,336.525,9.554,0.06,0.521,1.966,26.25,15.4
NA,210,"1979-07-29",17.51,18.677,91.664,7.345,897.88,0.209,336.525,8.677,3.525,0.501,2.204,25.34,15.39
NA,211,"1979-07-30",5.32,18.578,89.468,9.921,898.615,0.219,336.525,8.578,4.762,0.474,2.571,25.88,14.06
NA,212,"1979-07-31",1.57,18.981,90.284,12.56,897.864,0.325,336.525,8.981,6.029,0.428,2.321,24.31,16.53
NA,213,"1979-08-01",11.27,19.65,87.181,9.133,896.029,0.221,336.525,9.65,4.384,0.491,3.176,24.22,17.5
NA,214,"1979-08-02",10.25,18.465,90.206,5.029,896.2,0.158,336.525,8.465,2.414,0.518,2.157,21.66,16.49
NA,215,"1979-08-03",3.08,18.609,88.36,8.958,896.635,0.282,336.525,8.609,4.3,0.492,2.67,23.65,15.8
