Date	RH	Tmin	year	DOY	RAD	Rain	Pressure	WindSpeed	Tmax	Tair
17/02/1993	30.39	19.15	1993	48	22.4	0.1	914.3	64.8	17.11	20.96
18/02/1993	27.6	19.84	1993	49	20.62	0.07	915.3	64.71	15.36	22.07
19/02/1993	28.22	18.79	1993	50	20.35	0.21	915	69.51	14.47	21.05
20/02/1993	29.89	15.3	1993	51	21.86	0.06	913.4	62.57	16.13	16.64
21/02/1993	33.36	21.31	1993	52	23.59	0	912.2	50.62	16.5	21.86
22/02/1993	34.23	25.34	1993	53	24.49	0	911.1	41.42	16.04	25.98
23/02/1993	32.3	21.96	1993	54	23.66	0	912.3	47.16	16.56	23.04
24/02/1993	31.26	21.42	1993	55	22.66	0	912.8	59.96	16.46	22.81
25/02/1993	33.16	22.25	1993	56	23.7	0	912.4	54.58	16.34	23.01
26/02/1993	33.19	21.31	1993	57	23.95	0	912.7	55.44	17.03	22.45
27/02/1993	30.16	16.16	1993	58	22.77	0.81	914	65	17.49	17.73
28/02/1993	29.6	16.24	1993	59	22.23	1.61	914.9	70	17.57	17.86
01/03/1993	31.36	21.02	1993	60	22.65	0.03	913.9	55.33	17.01	22.29
02/03/1993	33.6	24.05	1993	61	24.02	0.04	911.3	51.13	16.13	25.07
03/03/1993	29.04	26.06	1993	62	22.69	0.08	911.4	54.52	17.55	27.31
04/03/1993	26.34	10.33	1993	63	20.24	5.14	913.8	74.7	16.24	11.93
05/03/1993	30.01	18.68	1993	64	21.47	1.11	913.5	69.31	15.59	20
06/03/1993	30.58	21.64	1993	65	23.18	0.16	912.5	61.86	17.61	22.61
07/03/1993	25.23	16.67	1993	66	21.05	2.7	913.4	80.13	17.85	18.15
08/03/1993	27.82	17.32	1993	67	21.56	3.61	913.7	76.65	18.15	19.13
09/03/1993	27.81	17.35	1993	68	21.13	5.5	913.9	73.97	17.46	19.05
10/03/1993	28.81	17.32	1993	69	21.87	1.12	913.2	72.55	17.1	19.02
11/03/1993	31.14	19.66	1993	70	23.16	0.33	911.2	63.36	17.55	20.87
12/03/1993	33.67	26.21	1993	71	24.6	0.63	909.2	52.7	16.99	27.25
13/03/1993	21.09	10.04	1993	72	18.61	5	913.9	73.5	13.37	12.64
14/03/1993	22.85	14.26	1993	73	15.35	0.34	917.2	65.02	11.08	17.33
15/03/1993	27.09	21.2	1993	74	18.47	0.96	915.9	68.29	12.29	23.26
16/03/1993	32.45	22.97	1993	75	22.91	0.28	913.1	59.66	14.68	23.86
17/03/1993	31.71	23.9	1993	76	23.56	0.53	912.7	59.13	18.25	25.24
18/03/1993	28.49	27.25	1993	77	21.29	0.07	914	60.61	15.31	29.18
19/03/1993	30.96	28.48	1993	78	21.17	0	913.9	47.15	13.14	29.7
20/03/1993	32.06	27.79	1993	79	21.86	0	913.9	53.65	14.3	29.03
21/03/1993	28.96	24.08	1993	80	20.49	0	914.1	60.18	14.24	26.08
22/03/1993	30.69	24.59	1993	81	22.07	0.08	913.8	61.4	14.65	26.02
23/03/1993	32.46	21.67	1993	82	23.74	3.99	913.8	62.13	16.97	22.85
24/03/1993	29.95	19.62	1993	83	22.88	10.54	913	72.62	18.35	20.57
25/03/1993	32.62	17.17	1993	84	24.09	0.29	912.6	63.89	17.6	17.88
26/03/1993	32.55	21.96	1993	85	24.29	0.36	912.2	59.85	18.15	22.94
27/03/1993	34.37	23.54	1993	86	25.04	0	911.8	53.47	17.08	24.19
28/03/1993	34.52	25.13	1993	87	25.26	0	911.4	51.02	18.57	25.94
29/03/1993	34.52	26.03	1993	88	25.19	0	910.3	49.35	17.49	26.79
30/03/1993	34.89	23.08	1993	89	25.83	0	909.5	49.67	17.21	23.83
31/03/1993	34.57	23.47	1993	90	26.59	0	908.9	50.39	18.8	24.22
01/04/1993	33.41	20.92	1993	91	26.15	0	909.6	54.24	20.17	21.98
02/04/1993	32.34	27	1993	92	24.5	0	910.7	61.55	18.84	28.49
03/04/1993	34.39	26.03	1993	93	24.91	0	910.7	52.49	17.98	27.23
04/04/1993	35	24.52	1993	94	25.92	0.04	909.2	54.15	19.05	25.39
05/04/1993	33.84	22.18	1993	95	25.09	0.28	909.5	54.65	18.2	23.48
06/04/1993	33.21	25.02	1993	96	24.92	0.12	909.9	57.66	18.66	26.19
07/04/1993	33.13	22	1993	97	25.49	0.31	909.5	55.3	19.3	22.45
08/04/1993	33.7	20.63	1993	98	25.4	0.17	909	58.81	19.9	21.9
09/04/1993	29.87	17.24	1993	99	24.14	0.45	911.2	67.97	20.44	18.46
10/04/1993	29.19	20.16	1993	100	22.67	0.59	912.6	69.66	18.07	22.14
11/04/1993	32.24	28.58	1993	101	23.53	0	912.2	56.57	16.63	30.02
12/04/1993	34.65	26.82	1993	102	25.12	0	910.5	53.87	18.01	27.48
13/04/1993	35.34	22.97	1993	103	26.11	0	909.5	54.42	18.89	23.37
14/04/1993	33.24	21.17	1993	104	26.06	0	908	59.95	20.71	22.85
15/04/1993	35.54	24.12	1993	105	26.8	0.48	908.6	52.18	20.29	26.07
16/04/1993	30.68	13.97	1993	106	24.15	7.48	912	66.3	20.03	15.3
17/04/1993	33.06	19.87	1993	107	25.03	0.11	912.2	65.55	19.13	21.14
18/04/1993	29.16	8.86	1993	108	23.8	1	911.1	70.72	20.39	10.39
19/04/1993	30.74	18.86	1993	109	23.98	3.52	910.2	72.12	19.69	19.59
20/04/1993	28.17	20.02	1993	110	23.69	2.09	910.6	75.31	20.61	20.44
21/04/1993	29.18	18.36	1993	111	23.39	0.83	912.2	74.66	20.23	19.81
22/04/1993	24.94	17.71	1993	112	20.81	0.28	914.1	69.84	18.18	20.1
23/04/1993	26.59	17.89	1993	113	21.01	0.14	913.5	68.54	17.1	19.61
24/04/1993	33.56	27.32	1993	114	24.13	0.48	911.9	58.88	16.58	28.4
25/04/1993	35.39	25.09	1993	115	26.07	1.11	911.7	55.78	19.05	25.66
26/04/1993	32.34	19.8	1993	116	25.38	0.8	911.3	64.66	20.5	21.03
27/04/1993	32.81	20.34	1993	117	24.84	0.08	911.8	60.11	18.88	22.01
28/04/1993	31.41	23.22	1993	118	24.4	0.03	912.8	62.35	19.1	24.91
29/04/1993	32.38	20.63	1993	119	24.58	0	912	58.68	18.39	21.79
30/04/1993	32.66	25.99	1993	120	25.06	0.06	910.6	55.99	18.96	26.54
01/05/1993	30.85	22.46	1993	121	24.47	1.15	910.6	59.58	19.1	23.1
02/05/1993	34.82	24.59	1993	122	26.16	0.8	910.3	57.6	19.86	25.67
03/05/1993	32.37	21.28	1993	123	25.73	1.85	910.7	59.57	20.58	22.03
04/05/1993	33.36	21.1	1993	124	25.83	0.66	911.2	62.2	20.22	21.95
05/05/1993	31.37	22.64	1993	125	24.92	0.55	911.7	68.15	20.67	23.78
06/05/1993	33.69	23	1993	126	25.79	0.04	911.2	59.87	19.65	24.36
07/05/1993	33.92	26.35	1993	127	25.58	0.24	909.5	56.5	19	27.04
08/05/1993	32.85	20.12	1993	128	25.22	1.83	909.2	61.43	19.89	20.88
09/05/1993	30.7	21.67	1993	129	24.4	10.75	909.7	68.05	20.41	22.04
10/05/1993	27.2	24.37	1993	130	22.78	5.95	910.4	77.67	19.74	25.27
11/05/1993	25.79	19.98	1993	131	21.33	3.84	910.4	78.73	18.43	21.33
12/05/1993	29.57	18.72	1993	132	23.2	0.15	909.8	67.59	18.44	20.06
13/05/1993	32.45	23	1993	133	24.78	0.08	909.6	59.12	18.22	23.63
14/05/1993	29.66	20.45	1993	134	23.89	0.03	910.7	64.62	19.2	21.38
15/05/1993	27.43	23.58	1993	135	22.81	0.29	911.8	72.79	19.66	24.68
16/05/1993	29.5	24.26	1993	136	23.63	0.01	912.5	65.46	18.92	25.52
17/05/1993	29.41	21.24	1993	137	23.96	0.14	911.8	69.55	19.93	22.21
18/05/1993	32.31	25.02	1993	138	25.5	0.26	910.1	61.37	19.66	25.52
19/05/1993	32.85	26.78	1993	139	26	0.5	909.3	60.2	20.24	27.32
20/05/1993	33.07	26.06	1993	140	26.21	0.21	909.7	52.75	20.28	26.74
21/05/1993	30.14	27.22	1993	141	24.65	0.06	911.2	62.91	20.69	27.94
22/05/1993	32.44	26.03	1993	142	25.03	0.03	911.6	59.73	19.24	26.89
23/05/1993	30.2	21.71	1993	143	24.86	0.29	911.3	64.26	20.65	22.49
24/05/1993	34.15	26.14	1993	144	25.91	0.38	910.2	55.57	19.65	27.04
25/05/1993	32.45	25.56	1993	145	25.16	0.21	909.6	61.25	19.67	26.47
26/05/1993	30.27	20.63	1993	146	24.38	0.16	909.4	65.77	20.22	22.21
27/05/1993	31.41	12.96	1993	147	24.4	0.15	908.7	68.38	19.97	14.45
28/05/1993	29.56	11.59	1993	148	24.12	1.26	909.2	71.37	20.54	13.08
29/05/1993	29.37	7.78	1993	149	23.71	13.08	910.3	75.84	20.04	8.47
30/05/1993	26.49	12.31	1993	150	22.52	21.19	910.7	84.75	19.91	13.42
31/05/1993	24.56	7.92	1993	151	21.58	4.28	909.6	87.52	19.12	8.41
01/06/1993	30.15	21.67	1993	152	23.9	0.01	910.1	65.57	18.83	22.23
02/06/1993	31.23	22.1	1993	153	24.97	0.11	911.3	67.08	19.86	22.88
03/06/1993	31.27	18.61	1993	154	24.98	2.42	911.6	70.78	20.69	19.18
04/06/1993	31.54	25.6	1993	155	24.71	5.92	910.9	71.51	20.02	26.21
05/06/1993	33.93	22.25	1993	156	26.16	0.38	911.6	60.28	19.68	22.95
06/06/1993	34.34	22.57	1993	157	26.55	0.03	912.4	58.56	20.79	23.65
07/06/1993	32.99	24.01	1993	158	25.91	0.2	912.3	60.31	20.46	25.29
08/06/1993	32.69	27.47	1993	159	25.32	0.54	910.6	56.28	20.33	28.56
09/06/1993	32.45	23.44	1993	160	24.56	0.7	910.2	59.43	18.42	24.39
10/06/1993	32.7	21.35	1993	161	25.09	0.05	910.4	61.73	19.3	22.12
11/06/1993	28.15	18.83	1993	162	23.97	0.19	910.4	72.14	21.15	19.4
12/06/1993	30.99	15.91	1993	163	24.38	2.18	910.1	70.91	20.01	16.47
13/06/1993	27.71	18.76	1993	164	23.12	2.14	909.5	80.88	20.23	19.69
14/06/1993	26.53	18.61	1993	165	22.41	1.22	909.5	76.11	19.25	19.8
15/06/1993	28.14	14.47	1993	166	22.6	3.48	909	76.94	18.97	15.65
16/06/1993	28.87	16.81	1993	167	22.78	2.49	908.8	78.05	18.94	18.15
17/06/1993	27.79	17.89	1993	168	22.89	3.62	909.6	76.38	19.13	19.16
18/06/1993	26.47	17.86	1993	169	22.5	1.52	911.2	77.83	19.36	18.95
19/06/1993	27.35	20.77	1993	170	22.24	7.44	912	79.69	19.23	21.59
20/06/1993	27.62	17.28	1993	171	22.53	19.49	911.4	83.16	18.68	17.81
21/06/1993	26.58	17.75	1993	172	22.95	15.51	911	85.77	20.07	18.09
22/06/1993	27.96	18.97	1993	173	23.31	3.14	910.4	81.95	20.56	19.41
23/06/1993	25.9	17.6	1993	174	22.54	4.62	910.3	89.14	20.28	18.21
24/06/1993	26.7	17.82	1993	175	22.08	4.64	911.5	84.29	19.43	18.49
25/06/1993	27.47	15.62	1993	176	22.54	9.46	910.8	83.96	19.63	16.32
26/06/1993	26.1	18.11	1993	177	22.22	3.13	910.2	84.71	20.05	18.94
27/06/1993	26	18.94	1993	178	22.02	19.81	909.7	88.21	19.94	19.58
28/06/1993	25.73	18.54	1993	179	21.59	20.34	911.4	84.13	18.85	19.42
29/06/1993	26.05	15.26	1993	180	21.06	14.29	912.7	81.51	17.52	16.02
30/06/1993	24.8	16.34	1993	181	20.41	4.11	913.2	85.91	17.34	17.11
01/07/1993	26.99	22.32	1993	182	22.08	6.15	912.4	82.91	18.55	23.01
02/07/1993	27.19	21.53	1993	183	22.22	15.2	911.6	84.79	18.34	22.37
03/07/1993	25.72	18.9	1993	184	21.24	2.12	911.6	84.32	18.07	19.72
04/07/1993	25.87	19.62	1993	185	21.49	2.62	911.3	88.02	19.09	20.52
05/07/1993	25.31	18.5	1993	186	21.26	2.11	912.5	85.49	18.16	18.98
06/07/1993	25.23	21.85	1993	187	21.24	1.86	913.2	82.68	18.48	22.57
07/07/1993	26.13	18.29	1993	188	20.93	4.59	913	79.28	17.01	19.13
08/07/1993	26.81	22.68	1993	189	21.46	2.1	912.1	81.5	17.59	23.14
09/07/1993	27.91	21.67	1993	190	22.58	2.79	912.3	80.53	19.27	22.31
10/07/1993	27.66	19.76	1993	191	22.39	6.76	913.5	83.66	18.44	20.78
11/07/1993	27.44	23.36	1993	192	22.14	2.22	912.9	79.88	18.3	24.47
12/07/1993	28.37	25.49	1993	193	22.47	0.25	911.9	74.96	18.25	26.66
13/07/1993	28.6	25.02	1993	194	22.64	0	912.3	75.6	17.79	26.14
14/07/1993	28.6	18.43	1993	195	23.59	2.9	912.9	77.03	19.6	19.21
15/07/1993	28.82	24.7	1993	196	23.11	8.32	913.1	77.29	18.94	25.63
16/07/1993	29.13	24.84	1993	197	23.11	0.36	913.1	74.56	18.83	25.84
17/07/1993	28.8	21.89	1993	198	23	0.18	913	72.61	18.34	22.8
18/07/1993	28.67	21.92	1993	199	22.7	4.78	913.7	77.24	18.79	22.68
19/07/1993	27.84	20.77	1993	200	22.36	9.37	914	83.14	18.07	21.59
20/07/1993	28.39	24.26	1993	201	22.6	0.17	913.6	75.02	18.47	25.56
21/07/1993	28.33	23.44	1993	202	22.72	2.21	913.3	76.09	18.02	24.57
22/07/1993	28.38	23.4	1993	203	22.79	4.35	913.2	77.05	19.39	24.47
23/07/1993	28.71	25.67	1993	204	22.86	1.54	913.9	73.25	18.58	26.93
24/07/1993	28.29	22.14	1993	205	22.94	0.2	913.8	73.89	18.64	23.24
25/07/1993	26.23	22.43	1993	206	21.93	1.61	913.5	80.65	19.14	23.21
26/07/1993	25.59	21.2	1993	207	21.84	3.6	911.7	84.46	19.22	22.11
27/07/1993	26.41	16.56	1993	208	21.95	6.89	910.5	85.09	18.9	17.21
28/07/1993	27.88	18.97	1993	209	22.48	2.31	912.4	77.34	18.58	19.82
29/07/1993	27.05	20.05	1993	210	22.24	2.44	913.7	82.29	18.97	21.13
30/07/1993	28.36	16.2	1993	211	22.9	2.58	913.6	80.89	19.3	17.21
31/07/1993	28.44	23.62	1993	212	22.82	1.78	914.2	74.3	19.1	24.84
01/08/1993	28.67	22.36	1993	213	22.69	0.09	913.5	71.15	17.97	23.87
02/08/1993	28.94	20.23	1993	214	23.33	0.85	912.2	75.73	19.19	21.57
03/08/1993	28.8	21.35	1993	215	23.14	0.88	912.2	75.19	19.31	22.45
04/08/1993	28.55	17.96	1993	216	23.11	4.16	912.6	78.18	19.9	19.07
05/08/1993	27.72	20.56	1993	217	22.86	5.06	912.4	83.52	19.95	21.67
06/08/1993	29.28	19.12	1993	218	23.2	1.2	911.2	79.41	19.57	20.15
07/08/1993	26.97	15.66	1993	219	22.04	1.45	912.2	79.01	18.95	16.63
08/08/1993	29.33	22.54	1993	220	22.77	2.18	913	71.62	17.74	23.81
09/08/1993	26.27	20.66	1993	221	21.6	12.59	913.2	83.65	18.85	22.09
10/08/1993	23.6	22.39	1993	222	20.08	3.07	912.1	84.1	17.67	23.98
11/08/1993	26.97	11.3	1993	223	21.1	0.79	911.4	82.22	17.27	12.51
12/08/1993	27.51	15.41	1993	224	22.29	2.07	911.7	81.36	18.87	16.05
13/08/1993	28.44	24.3	1993	225	22.71	1.47	912.3	77.9	19.35	25
14/08/1993	25.89	16.85	1993	226	22.1	2.02	912.4	84.65	19.77	17.44
15/08/1993	27.11	13.03	1993	227	22.18	1.94	912.8	81.03	18.73	13.6
16/08/1993	28.48	16.67	1993	228	22.91	0.48	912.6	77.53	19.18	17.17
17/08/1993	28.57	18.36	1993	229	23.05	3.37	912	79.52	19.78	18.91
18/08/1993	28.54	18.22	1993	230	22.79	2.93	911.8	80.81	19.53	18.92
19/08/1993	28.78	18.83	1993	231	22.68	1.09	912.6	74.54	18.82	19.68
20/08/1993	27.67	20.52	1993	232	22.81	0.45	913.4	76.72	18.93	21.22
21/08/1993	30.82	23.29	1993	233	23.87	0.33	914.3	66.63	19.09	24.4
22/08/1993	29.98	20.63	1993	234	23.64	0.56	913.9	74.51	19.37	21.72
23/08/1993	27.46	12.71	1993	235	22.82	0.09	913.1	75.76	19.7	13.63
24/08/1993	30.97	22.79	1993	236	23.7	0.04	912.2	65.37	18.39	23.69
25/08/1993	29.85	18.86	1993	237	23.37	3.44	912.4	72.19	19.79	19.42
26/08/1993	25.44	19.08	1993	238	21.76	7.38	913.1	83.89	19.92	19.5
27/08/1993	24.01	16.74	1993	239	21.44	11.73	911.7	90.79	19.73	17.34
28/08/1993	26.54	19.15	1993	240	21.92	3.19	912.5	81.65	18.67	19.81
29/08/1993	29.49	16.27	1993	241	23.07	0.32	911.9	74.42	18.55	16.66
30/08/1993	28.65	19.98	1993	242	22.94	1.37	911.7	73.52	19.45	20.55
31/08/1993	28.99	22.43	1993	243	22.59	4.52	911.3	75.9	18.97	22.75
01/09/1993	27.75	19.69	1993	244	22.47	0.61	911.3	78.74	18.77	20.31
02/09/1993	29.59	23.65	1993	245	23.31	0.38	912	70.04	19.32	24.31
03/09/1993	29.57	20.66	1993	246	23.22	1.25	913.1	71.46	19.22	21.2
04/09/1993	26.9	19.37	1993	247	22.29	1.45	912.1	78.49	19.59	19.84
05/09/1993	28.76	18.72	1993	248	22.85	2.34	910.8	73.12	19	19.29
06/09/1993	26.32	20.56	1993	249	21.96	1.62	911.3	82.51	18.92	20.96
07/09/1993	28.29	16.56	1993	250	22.48	2.88	911.3	79.94	18.65	16.91
08/09/1993	28.36	17.93	1993	251	22.43	5.25	910.8	81.55	19.09	18.46
09/09/1993	26.83	18.79	1993	252	21.97	2.64	911.9	82.5	18.54	19.53
10/09/1993	29.3	19.58	1993	253	23.39	0.52	912.8	73.75	19.24	20.21
11/09/1993	29.88	20.52	1993	254	23.84	0.71	913.1	72.25	19.68	21.3
12/09/1993	30.61	22.46	1993	255	23.97	1.09	912.8	70.83	19.09	23.07
13/09/1993	28.37	19.48	1993	256	23.03	1.02	912.6	77.12	19.87	19.98
14/09/1993	30.59	19.58	1993	257	23.48	0.81	912	67.08	18.64	20.16
15/09/1993	29.53	20.45	1993	258	22.98	0.73	911.2	71.4	18.65	21.9
16/09/1993	24.15	7.67	1993	259	20.9	10.55	909.7	84.34	18.87	9.34
17/09/1993	24.02	2.52	1993	260	20.97	30.1	909.2	93.65	19.32	3.71
18/09/1993	25.43	10.87	1993	261	21.5	2.1	908.9	84.8	18.62	12.71
19/09/1993	26.12	10.91	1993	262	22	4.99	909.3	84.73	19.2	12.25
20/09/1993	26.96	18.36	1993	263	22.1	2.39	909.5	80.8	18.37	19.15
21/09/1993	26.29	15.8	1993	264	21.79	2.24	910.6	86.59	19.46	16.5
22/09/1993	28.17	24.62	1993	265	22.58	4.16	912.1	77.79	18.92	25.11
23/09/1993	27.01	18.61	1993	266	22.24	5.93	912.3	83.68	19.65	19.23
24/09/1993	27.61	17.24	1993	267	21.94	1.07	912	78.79	17.89	18
25/09/1993	26.91	17.53	1993	268	22.11	6.34	910.7	80.43	18.61	18.09
26/09/1993	25.81	13.57	1993	269	21.78	17.44	910.6	89.1	19.05	14.01
27/09/1993	25.26	16.81	1993	270	21.42	4.4	911.5	89.15	19.5	17.54
28/09/1993	25.99	16.88	1993	271	21.58	1.65	911.9	84.67	18.78	17.73
29/09/1993	26.57	20.09	1993	272	21.62	0.55	911.7	79.39	18.42	21.18
30/09/1993	26.66	18.11	1993	273	21.35	1.1	911.1	79.58	16.63	19.05
01/10/1993	27.58	18.43	1993	274	21.85	0.71	910.8	77.7	17.24	19.25
02/10/1993	26.17	13.61	1993	275	21.72	0.78	911.8	84.21	18.5	14.08
03/10/1993	25.87	18.61	1993	276	21.91	0.65	911.8	83.38	18.79	18.91
04/10/1993	24	18	1993	277	21.49	5.26	910.5	91.38	19.8	18.36
05/10/1993	24.67	17.64	1993	278	21.76	14.21	912.2	91.38	19.45	18.17
06/10/1993	27.42	16.27	1993	279	22.54	0.72	912.9	82.82	18.96	17.17
07/10/1993	26.93	18.65	1993	280	22.44	0.81	912.2	83.25	19.88	19.51
08/10/1993	27.29	19.26	1993	281	22.47	1.6	911.1	83.13	19.1	20.05
09/10/1993	27.46	18.47	1993	282	22.79	0.48	911.3	82.05	19.37	19.19
10/10/1993	27.73	17.78	1993	283	22.5	1.1	912	81.96	19.43	18.74
11/10/1993	27.67	14.4	1993	284	22.2	2.42	911.9	83.17	18.75	15.47
12/10/1993	27.56	13.07	1993	285	22.74	2.15	911.1	82.61	19.74	13.64
13/10/1993	27.09	14.33	1993	286	22.42	5.52	911.6	79.75	19.26	14.89
14/10/1993	24.93	9.32	1993	287	21.48	8.03	912.3	85.71	18.87	9.7
15/10/1993	25.15	15.01	1993	288	21.67	6.08	912.3	84.79	19.26	15.43
16/10/1993	28.52	21.92	1993	289	22.79	0.07	911.1	75.2	18.48	22.41
17/10/1993	23.71	18.94	1993	290	21.09	2.75	910.6	87.64	19.06	19.34
18/10/1993	28.71	16.67	1993	291	22.68	4.71	911.1	74.07	18.47	17.27
19/10/1993	28.39	23.65	1993	292	22.08	0.09	911.9	75.34	17.2	24.41
20/10/1993	29.01	19.44	1993	293	23.03	0.39	911.3	75.57	18.28	20.23
21/10/1993	27.31	18.4	1993	294	22.71	0.95	911.4	79.68	19.56	19.33
22/10/1993	26.24	14.62	1993	295	21.32	0.71	911.8	79.59	17.79	16.17
23/10/1993	26.99	16.99	1993	296	21.2	1.11	911.6	80.38	16.48	18.34
24/10/1993	27.95	17.03	1993	297	21.84	0.31	911	79.19	17.31	18.08
25/10/1993	28.34	14.04	1993	298	21.94	0.11	910.7	75.62	17	15.04
26/10/1993	27.05	11.52	1993	299	21.6	1.77	911.1	78.32	17.33	12.38
27/10/1993	26.73	11.59	1993	300	21.46	5.92	911.8	86.5	18.17	12.66
28/10/1993	29.12	13.75	1993	301	23.05	0.1	912.2	78.79	18.44	14.5
29/10/1993	29.53	18.14	1993	302	23.52	1.75	911.8	76.71	19.32	19.02
30/10/1993	29.96	18.58	1993	303	23.29	0.79	911.7	75.27	18.2	19.64
31/10/1993	21.73	6.26	1993	304	18.76	8.99	913.5	89.3	15.17	8.17
01/11/1993	20.05	11.48	1993	305	16.4	1.38	914.9	85.62	13.98	13.97
02/11/1993	27.19	16.6	1993	306	20.41	0.43	914.8	80.47	15.05	18.06
03/11/1993	27.54	16.6	1993	307	21.83	0.35	915.8	81.14	17.33	17.97
04/11/1993	28.9	18.43	1993	308	22.7	0.23	914.6	78.05	17.81	19.59
05/11/1993	29.58	18.36	1993	309	23.03	0.16	912.9	73.91	18.27	19.37
06/11/1993	29.23	21.71	1993	310	22.62	0.95	912.1	72.83	17.74	22.51
07/11/1993	27.9	15.16	1993	311	22.05	0.8	913.1	75.71	17.99	16.63
08/11/1993	27.72	17.14	1993	312	21.78	1.94	913.8	78.77	18.05	18.7
09/11/1993	28.01	18.54	1993	313	22.08	1.12	913.8	77.65	17.78	19.99
10/11/1993	26.15	16.56	1993	314	21.02	3.67	913.8	81.79	17.96	18.62
11/11/1993	26.27	10.19	1993	315	20.81	9.52	912.1	86.73	18.21	12.14
12/11/1993	28.34	15.34	1993	316	21.99	0.09	910.9	77.5	17.37	16.36
13/11/1993	29.73	20.2	1993	317	23.22	0.02	911	73.58	19	21.02
14/11/1993	28.9	19.98	1993	318	22.69	0.05	911.4	70.78	18.6	20.99
15/11/1993	28.45	17.1	1993	319	22.27	0.15	912.1	74.43	17.39	18.25
