Date	year	DOY	Tair	RH	RAD	Pressure	WindSpeed	CO2	DegreeDays	PAR	FDiff	VPD	Tmax	Tmin	Rain	HR
29/06/1989	1989	180	20.016	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	13.9	3.7	NA
30/06/1989	1989	181	20.437	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	12.4	0	NA
01/07/1989	1989	182	21.736	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	10.2	0.4	NA
02/07/1989	1989	183	22.547	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6	12.8	0	NA
03/07/1989	1989	184	21.862	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	10	20.9	NA
04/07/1989	1989	185	22.219	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	12	7.7	NA
05/07/1989	1989	186	22.835	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	11.2	0	NA
06/07/1989	1989	187	21.112	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	12.8	1	NA
07/07/1989	1989	188	22.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	12.5	4.6	NA
08/07/1989	1989	189	21.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	12.6	8.7	NA
09/07/1989	1989	190	19.929	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	12.8	0.4	NA
10/07/1989	1989	191	18.703	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	12	0.4	NA
11/07/1989	1989	192	18.972	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	11.5	0	NA
12/07/1989	1989	193	18.401	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.2	10.8	0	NA
13/07/1989	1989	194	19.626	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	10.5	0	NA
14/07/1989	1989	195	20.174	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	10	0	NA
15/07/1989	1989	196	20.468	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.8	12.8	0	NA
16/07/1989	1989	197	22.092	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	14	1.3	NA
17/07/1989	1989	198	21.962	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.1	13.5	2.8	NA
18/07/1989	1989	199	22.357	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.3	12.2	7.3	NA
19/07/1989	1989	200	20.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	12.9	1.4	NA
20/07/1989	1989	201	20.566	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	13.2	0.5	NA
21/07/1989	1989	202	20.587	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6	13.4	0	NA
22/07/1989	1989	203	21.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	9.3	4	NA
23/07/1989	1989	204	21.637	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2	14.5	1.2	NA
24/07/1989	1989	205	21.824	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8	15	0	NA
25/07/1989	1989	206	21.395	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3	14	2	NA
26/07/1989	1989	207	19.322	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	14.2	13.9	NA
27/07/1989	1989	208	19.713	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8	14.1	2.3	NA
28/07/1989	1989	209	19.921	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.9	15.2	18.3	NA
29/07/1989	1989	210	19.645	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.5	14.4	0.2	NA
30/07/1989	1989	211	18.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.5	9.8	6.3	NA
31/07/1989	1989	212	18.606	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	10.2	0	NA
01/08/1989	1989	213	19.455	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.2	10	2.3	NA
02/08/1989	1989	214	19.319	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6	10	2.7	NA
03/08/1989	1989	215	18.635	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.2	11.5	2	NA
04/08/1989	1989	216	19.694	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5	11.5	0	NA
05/08/1989	1989	217	17.741	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5	10	0	NA
06/08/1989	1989	218	19.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5	9	0	NA
07/08/1989	1989	219	19.985	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.9	8.6	0	NA
08/08/1989	1989	220	20.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.2	8.5	21.6	NA
09/08/1989	1989	221	18.888	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	10.9	0	NA
10/08/1989	1989	222	20.066	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.1	13	4.5	NA
11/08/1989	1989	223	19.831	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.2	14.6	0.4	NA
12/08/1989	1989	224	18.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	13.5	11.8	NA
13/08/1989	1989	225	19.683	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	14	10.5	NA
14/08/1989	1989	226	19.996	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	15	3.4	NA
15/08/1989	1989	227	18.053	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	13.2	1.1	NA
16/08/1989	1989	228	19.224	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.2	12.5	0.9	NA
17/08/1989	1989	229	18.274	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4	12.2	0	NA
18/08/1989	1989	230	17.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5	15.4	7	NA
19/08/1989	1989	231	18.396	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	14.7	17.7	NA
20/08/1989	1989	232	19.284	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3	12.5	43.1	NA
21/08/1989	1989	233	20.468	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	12	29.1	NA
22/08/1989	1989	234	20.529	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	12	0.2	NA
23/08/1989	1989	235	20.034	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	12.6	8.4	NA
24/08/1989	1989	236	19.413	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4	14	9.8	NA
25/08/1989	1989	237	18.394	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	13.5	55.4	NA
26/08/1989	1989	238	19.441	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11.4	30.8	NA
27/08/1989	1989	239	20.746	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	14.4	17.7	NA
28/08/1989	1989	240	20.946	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	10.5	8.1	NA
29/08/1989	1989	241	20.711	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5	12.4	19.6	NA
30/08/1989	1989	242	21.253	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	12.5	9.8	NA
31/08/1989	1989	243	19.566	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	12.8	26.4	NA
01/09/1989	1989	244	19.121	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	14.5	7.2	NA
02/09/1989	1989	245	20.666	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.7	15.8	5.6	NA
03/09/1989	1989	246	20.577	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	14.7	3.2	NA
04/09/1989	1989	247	21.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	15	9.6	NA
05/09/1989	1989	248	21.598	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3	14.1	5.5	NA
06/09/1989	1989	249	20.931	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	15	0.2	NA
07/09/1989	1989	250	20.395	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	10	0.1	NA
08/09/1989	1989	251	21.235	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.1	15.4	26.1	NA
09/09/1989	1989	252	19.887	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.9	14.8	35.5	NA
10/09/1989	1989	253	20.997	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	13.5	1.5	NA
11/09/1989	1989	254	20.108	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.8	13	26.4	NA
12/09/1989	1989	255	19.716	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	13.6	0	NA
13/09/1989	1989	256	21.103	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	14.2	0	NA
14/09/1989	1989	257	21.435	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4	15.5	2.9	NA
15/09/1989	1989	258	20.772	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	15	27	NA
16/09/1989	1989	259	20.099	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.3	15.7	8.5	NA
17/09/1989	1989	260	21.044	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	14.5	31	NA
18/09/1989	1989	261	21.587	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	14.4	2.1	NA
19/09/1989	1989	262	19.618	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	14.2	9.2	NA
20/09/1989	1989	263	20.145	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	14	2	NA
21/09/1989	1989	264	20.534	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	14	0.6	NA
22/09/1989	1989	265	19.674	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	15.8	30.5	NA
23/09/1989	1989	266	19.468	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.5	15.5	46.7	NA
24/09/1989	1989	267	20.266	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	15.2	4.2	NA
25/09/1989	1989	268	20.441	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.8	11.2	0	NA
26/09/1989	1989	269	19.748	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	15.2	0.9	NA
27/09/1989	1989	270	19.137	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.3	15.2	0	NA
28/09/1989	1989	271	21.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	15.2	12.2	NA
29/09/1989	1989	272	20.213	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	15.4	18	NA
30/09/1989	1989	273	18.945	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	15.4	20.7	NA
01/10/1989	1989	274	18.466	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	12.8	1.6	NA
02/10/1989	1989	275	18.385	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	12.8	1.1	NA
03/10/1989	1989	276	20.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.2	12.5	3.4	NA
04/10/1989	1989	277	18.841	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	13.5	20	NA
05/10/1989	1989	278	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	15.6	7.2	NA
06/10/1989	1989	279	17.842	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	11.7	3.6	NA
07/10/1989	1989	280	19.611	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.9	11.8	20.2	NA
08/10/1989	1989	281	21.896	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.7	15	8.1	NA
09/10/1989	1989	282	21.201	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.6	15	7.3	NA
10/10/1989	1989	283	21.634	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	13.4	4.1	NA
11/10/1989	1989	284	17.585	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	15	10.3	NA
12/10/1989	1989	285	18.953	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	12.8	0.1	NA
13/10/1989	1989	286	19.038	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	12.4	3.4	NA
14/10/1989	1989	287	17.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.2	13.4	4.1	NA
15/10/1989	1989	288	19.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	13	6.1	NA
16/10/1989	1989	289	20.922	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	11.4	0	NA
17/10/1989	1989	290	21.284	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	11.4	0	NA
18/10/1989	1989	291	20.127	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	8.5	4.4	NA
19/10/1989	1989	292	18.498	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.6	8	0	NA
20/10/1989	1989	293	20.092	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	12	2.3	NA
21/10/1989	1989	294	20.471	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.9	11.4	0	NA
22/10/1989	1989	295	20.859	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.8	11	0	NA
23/10/1989	1989	296	21.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8	12	0.4	NA
24/10/1989	1989	297	21.595	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.5	12.8	0	NA
25/10/1989	1989	298	20.866	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	13	0.1	NA
26/10/1989	1989	299	19.066	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13	0	NA
27/10/1989	1989	300	19.067	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.7	10.8	0	NA
28/10/1989	1989	301	20.134	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.4	13.5	0	NA
29/10/1989	1989	302	19.744	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	12.8	0	NA
30/10/1989	1989	303	19.833	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	12.8	0	NA
31/10/1989	1989	304	19.686	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.2	10.2	0	NA
01/11/1989	1989	305	19.697	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	10.8	0	NA
02/11/1989	1989	306	20.306	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11.8	0.1	NA
03/11/1989	1989	307	20.348	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.4	13.5	0.3	NA
04/11/1989	1989	308	20.452	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2	14.8	1.1	NA
05/11/1989	1989	309	20.385	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	15.4	3.5	NA
06/11/1989	1989	310	19.547	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	15.6	0.2	NA
07/11/1989	1989	311	19.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.3	14.1	0	NA
08/11/1989	1989	312	19.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	8.8	0.1	NA
09/11/1989	1989	313	19.802	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	12	1.5	NA
10/11/1989	1989	314	19.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.4	15.4	0	NA
11/11/1989	1989	315	19.544	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.5	14.4	1.9	NA
12/11/1989	1989	316	19.605	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	15	15	NA
13/11/1989	1989	317	19.597	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	14.5	0	NA
14/11/1989	1989	318	20.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	14.6	0	NA
15/11/1989	1989	319	19.831	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	14	0	NA
16/11/1989	1989	320	19.463	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11.5	0	NA
17/11/1989	1989	321	20.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11.2	0	NA
18/11/1989	1989	322	18.985	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	13	0.1	NA
19/11/1989	1989	323	19.446	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	15.4	0	NA
20/11/1989	1989	324	19.151	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	15	0.2	NA
21/11/1989	1989	325	17.668	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8	15	0	NA
22/11/1989	1989	326	18.367	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	13.5	2.5	NA
23/11/1989	1989	327	18.876	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	13.2	0	NA
24/11/1989	1989	328	19.714	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	13.7	0	NA
25/11/1989	1989	329	17.988	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	13.6	0	NA
26/11/1989	1989	330	18.076	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.6	10.2	0	NA
27/11/1989	1989	331	17.508	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.1	14.8	0.5	NA
28/11/1989	1989	332	17.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	12.2	0.2	NA
29/11/1989	1989	333	18.525	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	13.8	0.2	NA
30/11/1989	1989	334	18.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	13.8	0	NA
01/12/1989	1989	335	17.038	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	14.2	0	NA
02/12/1989	1989	336	16.746	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.8	10.8	0	NA
03/12/1989	1989	337	15.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.8	13.8	0	NA
04/12/1989	1989	338	16.747	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5	13.3	2.8	NA
05/12/1989	1989	339	19.316	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.8	13	0	NA
06/12/1989	1989	340	19.954	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	12.8	0	NA
07/12/1989	1989	341	19.116	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	11.4	2.6	NA
08/12/1989	1989	342	18.852	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	12.8	1.8	NA
09/12/1989	1989	343	18.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.2	12.2	0.6	NA
10/12/1989	1989	344	19.071	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.5	11	0	NA
11/12/1989	1989	345	18.387	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	6.4	0	NA
12/12/1989	1989	346	19.315	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.4	10.4	0	NA
13/12/1989	1989	347	19.245	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.6	10.8	0	NA
14/12/1989	1989	348	19.063	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.6	13.8	0	NA
15/12/1989	1989	349	19.381	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	11	0	NA
16/12/1989	1989	350	19.244	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4	5.2	0	NA
17/12/1989	1989	351	18.454	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.9	8.8	0	NA
18/12/1989	1989	352	18.839	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	5.4	0	NA
19/12/1989	1989	353	20.096	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	8.4	0	NA
20/12/1989	1989	354	20.856	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11	0	NA
21/12/1989	1989	355	18.873	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11.6	0	NA
22/12/1989	1989	356	17.296	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	5.5	0	NA
23/12/1989	1989	357	17.537	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	11.2	0.2	NA
24/12/1989	1989	358	18.282	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.5	6.4	0	NA
25/12/1989	1989	359	19.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	4.4	0	NA
26/12/1989	1989	360	19.041	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6	5	0	NA
27/12/1989	1989	361	18.985	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.4	7.2	0	NA
28/12/1989	1989	362	18.604	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	8.4	0	NA
29/12/1989	1989	363	19.265	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.6	6.5	0	NA
30/12/1989	1989	364	18.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	7.5	0	NA
31/12/1989	1989	365	19.527	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.2	6.6	0	NA
01/01/1990	1990	1	18.632	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	5.4	0	NA
02/01/1990	1990	2	18.993	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.6	12.9	0	NA
03/01/1990	1990	3	17.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.4	10.2	0	NA
04/01/1990	1990	4	18.611	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	12.5	0	NA
05/01/1990	1990	5	18.736	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	11	0	NA
06/01/1990	1990	6	18.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	5.8	0	NA
07/01/1990	1990	7	18.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	11.6	0	NA
08/01/1990	1990	8	18.334	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.6	11.6	0	NA
09/01/1990	1990	9	19.466	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.4	9.2	0	NA
10/01/1990	1990	10	19.135	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2	12.2	0	NA
11/01/1990	1990	11	17.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12.2	0	NA
12/01/1990	1990	12	17.175	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.5	11.8	0	NA
13/01/1990	1990	13	16.449	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.6	11.5	0	NA
14/01/1990	1990	14	17.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	12.6	0.2	NA
15/01/1990	1990	15	18.698	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12.6	0.2	NA
16/01/1990	1990	16	18.562	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.2	13.4	0	NA
17/01/1990	1990	17	18.377	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.6	12.7	0	NA
18/01/1990	1990	18	18.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.2	10.8	0	NA
19/01/1990	1990	19	18.146	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.8	12.8	0	NA
20/01/1990	1990	20	18.888	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.2	8.7	0	NA
21/01/1990	1990	21	18.552	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	13.5	0	NA
22/01/1990	1990	22	18.292	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	13.5	0	NA
23/01/1990	1990	23	17.897	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	12	0	NA
24/01/1990	1990	24	18.882	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	8	0	NA
25/01/1990	1990	25	18.565	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	4.4	0	NA
26/01/1990	1990	26	18.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.6	12.4	0.1	NA
27/01/1990	1990	27	16.824	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.8	13.2	0	NA
28/01/1990	1990	28	19.293	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.7	13.8	0	NA
29/01/1990	1990	29	18.497	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8	12.5	0	NA
30/01/1990	1990	30	19.295	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.3	14	0	NA
31/01/1990	1990	31	19.277	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	14	0	NA
01/02/1990	1990	32	18.876	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.4	13	0	NA
02/02/1990	1990	33	18.209	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.6	8.2	0	NA
